screen_id,surface,file_path,route_id,screen_name,actor,owner_kind,owner_id,purpose,primary_job,primary_cta,required_states,current_status,design_review_status,is_route_screen,can_be_section,can_be_sheet,grouping_reason,click_depth_estimate,fragmentation_risk,god_screen_risk,notes
client.dsh.home.feed,app-client,dsh/frontend/app-client/screens/HomeScreen.tsx,dsh-home,DSH Home Feed,client,service,dsh,Discovery entry — storefront listing and catalog,Show available stores and categories to client,Browse stores,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,TAB_ROOT — primary discovery entry point,0,LOW,LOW,P0 deepLink=/dsh fallback=dsh-home
client.dsh.entry,app-client,dsh/frontend/app-client/screens/EntryScreen.tsx,dsh-entry,DSH Entry,client,service,dsh,Service entry gate — checks eligibility and zone before surfacing home,Gate client into service or show blocked state,Enter service,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,Entry-gate screen — distinct from home feed,1,LOW,LOW,P1 fallback=dsh-home
client.dsh.my-space.home,app-client,dsh/frontend/app-client/screens/MySpaceScreen.tsx,dsh-my-space,My Space,client,service,dsh,Client personal hub — orders history / profile / subscriptions / loyalty,Show client's personal space,View my space,loading|empty|error|success|offline|disabled,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY — personal hub aggregating multiple client assets,2,MEDIUM,LOW,P1 — contains subscriptions and loyalty sections; god-screen risk if sections grow
client.dsh.notifications.list,app-client,dsh/frontend/app-client/screens/NotificationsScreen.tsx,dsh-notifications,Notifications,client,service,dsh,Notification center for order updates and promotions,Show all client notifications,View notification,loading|empty|error|success|offline|disabled,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY — distinct from BellScreen modal,2,LOW,LOW,P1 requires notifications permission
client.dsh.store.items,app-client,dsh/frontend/app-client/screens/StoreItemsScreen.tsx,dsh-store-items,Store Items,client,service,dsh,Store items listing within a specific store,Show items available in selected store,Add to cart,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP in dsh.storefront — after StoreScreen,3,LOW,LOW,P1 fallback=dsh-store
client.dsh.cart.review,app-client,dsh/frontend/app-client/screens/CartScreen.tsx,dsh-cart,Cart Review,client,service,dsh,Pre-checkout cart review with items and total,Show cart contents and allow edits before checkout,Proceed to checkout,loading|empty|error|success|offline|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP in dsh.checkout — P0; linked to WLT for payment,4,LOW,LOW,P0 linkedServiceId=wlt
client.dsh.favorites.toggle,app-client,dsh/frontend/app-client/screens/FavoriteToggleScreen.tsx,dsh-favorite-toggle,Favorite Toggle,client,service,dsh,Toggle store or item favorite state,Add or remove favorite,Toggle favorite,loading|error|success|retry,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,YES,FLOW_STEP — action-only; candidate for sheet/modal not full screen,4,LOW,LOW,P2 — consider converting to sheet in Loop 3
client.dsh.favorites.list,app-client,dsh/frontend/app-client/screens/FavoritesScreen.tsx,dsh-favorites,Favorites List,client,service,dsh,Client's saved favorite stores,Show saved favorites,Browse favorites,loading|empty|error|success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY — distinct list view,2,LOW,LOW,P2
client.dsh.discovery.search,app-client,dsh/frontend/app-client/screens/SearchScreen.tsx,dsh-search,Search,client,service,dsh,Full-text store and item search within DSH,Search for stores or items,Search,loading|empty|error|success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY — discovery flow branch,1,LOW,LOW,P1
client.dsh.store.details,app-client,dsh/frontend/app-client/screens/StoreScreen.tsx,dsh-store,Store Details,client,service,dsh,Store detail page — info and menu preview,Show store info and direct to items,View menu,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP in dsh.storefront — before StoreItems,2,LOW,LOW,P0 fallback=dsh-home
client.dsh.bell,app-client,dsh/frontend/app-client/screens/BellScreen.tsx,dsh-bell,Bell Notifications,client,service,dsh,Quick notification modal accessible from tracking,Show active order alerts in modal,Dismiss or act on notification,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,YES,MODAL — distinct from NotificationsScreen; contextual to tracking,3,LOW,LOW,P2 fallback=dsh-tracking
client.dsh.benefits.home,app-client,dsh/frontend/app-client/screens/BenefitsScreen.tsx,dsh-benefits,Benefits Hub,client,service,dsh,Benefits and perks hub for DSH members,Show available benefits and loyalty rewards,Explore benefits,loading|empty|error|success|offline|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP in dsh.benefits — loyalty rewards section lives here,3,MEDIUM,LOW,P1 — LoyaltyRewardsScreen is a section inside this
client.dsh.conversation.workspace,app-client,dsh/frontend/app-client/screens/OperationScreens.tsx,dsh-conversation-workspace,Conversation Workspace,client,service,dsh,Client↔Support/Ops messaging workspace,Enable client to message support or ops about an order,Send message,loading|error|success|retry|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP in dsh.support.chat — grouped in OperationScreens; split candidate,4,HIGH,NO,P1 — lives in OperationScreens god-file
client.dsh.listing.status-update,app-client,dsh/frontend/app-client/screens/OperationScreens.tsx,dsh-listing-status-update,Listing Status Update,client,service,dsh,Client-facing listing status update notification,Inform client of listing/store status change,Acknowledge update,loading|error|success|retry|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,YES,YES,FLOW_STEP — candidate for section or sheet within order flow,4,LOW,NO,P2 — consider merging into order tracking sheet
client.dsh.order.issue.workspace,app-client,dsh/frontend/app-client/screens/OperationScreens.tsx,dsh-order-issue-workspace,Order Issue Workspace,client,service,dsh,Client reports order issue and communicates with ops,Report and resolve order issue,Report issue,loading|error|success|retry|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,YES,FLOW_STEP in dsh.support.issue — candidate for sheet within tracking screen,4,MEDIUM,NO,P1 — lives in OperationScreens god-file
client.dsh.proxy.workspace,app-client,dsh/frontend/app-client/screens/OperationScreens.tsx,dsh-proxy-workspace,Proxy Workspace,client,service,dsh,Proxy order workspace (Shein/Awnak third-party orders),Handle proxy order creation or tracking,Place proxy order,loading|error|success|retry|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP in dsh.proxy — hosts SheinOrderCreateScreen and AwnakOrderCreateScreen parts,4,MEDIUM,NO,P2 — lives in OperationScreens god-file
client.dsh.service.settings,app-client,dsh/frontend/app-client/screens/OperationScreens.tsx,dsh-service-settings,Service Settings,client,service,dsh,Client DSH service preferences and settings,Allow client to configure service preferences,Save settings,loading|error|success|retry|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP in dsh.service-settings — lives in OperationScreens god-file,3,LOW,NO,P2
client.dsh.zone.set,app-client,dsh/frontend/app-client/screens/OperationScreens.tsx,dsh-zone-set,Zone Set,client,service,dsh,Client sets delivery zone or area preference,Allow client to set or change delivery zone,Set zone,loading|error|success|retry|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,YES,FLOW_STEP in dsh.service-zone — candidate for sheet,2,LOW,NO,P2
client.dsh.orders.history,app-client,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,dsh-orders,Orders History,client,service,dsh,Client's full order history list,Show list of past and active orders,View order,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY in dsh.orders — P0 deepLink=/dsh/orders,2,LOW,LOW,Grouped with tracking in same file — acceptable (same flow)
client.dsh.order.tracking.live,app-client,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,dsh-tracking,Live Order Tracking,client,service,dsh,Real-time order tracking map with status,Show live captain location and order status,Track order,loading|error|success|offline|retry|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP in dsh.tracking — P0 deepLink=/dsh/orders/:orderId/tracking requires location,3,LOW,LOW,Grouped with orders list in same file — acceptable
client.dsh.order.rating,app-client,dsh/frontend/app-client/screens/DshRatingScreen.tsx,dsh-order-rating,Order Rating,client,service,dsh,Post-delivery rating for captain and experience,Allow client to rate completed order,Submit rating,loading|error|success|retry|cancelled,READY_FOR_REVIEW,NEEDS_VISUAL_EVIDENCE,YES,NO,YES,FLOW_STEP in dsh.orders — candidate for modal/sheet after delivery,4,LOW,LOW,P2 — consider sheet instead of full route screen
client.dsh.checkout.intent,app-client,dsh/frontend/app-client/screens/DshCheckoutIntentScreen.tsx,dsh-checkout-intent,Checkout Intent,client,service,dsh,Pre-payment checkout intent confirmation screen,Confirm order intent before payment handoff to WLT,Confirm order,loading|error|blocked|retry,READY_FOR_REVIEW,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP in dsh.checkout — P0; gateway before WLT payment,4,LOW,LOW,P0 fallback=dsh-cart
partner.dsh.home.dashboard,app-partner,dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,dsh-partner-home,Partner Home Dashboard,partner,service,dsh,Partner home dashboard — business overview,Show order queue status and daily summary,View orders,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,TAB_ROOT P0 — PartnerHubScreen hosts 3 registered screens,0,MEDIUM,MEDIUM,Hub file god-screen risk — home+ops+settings in one file
partner.dsh.entry.status,app-partner,dsh/frontend/app-partner/screens/PartnerEntryScreen.tsx,dsh-partner-entry,Partner Entry Status,partner,service,dsh,Partner service entry gate — status and onboarding check,Gate partner into service or show activation state,Activate store,loading|empty|error|success|offline|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P0 — distinct gate screen,1,LOW,LOW,
partner.dsh.store.profile,app-partner,dsh/frontend/app-partner/screens/StoreProfileScreen.tsx,dsh-partner-store-profile,Store Profile,partner,service,dsh,Partner store profile management,Allow partner to view and edit store details,Edit profile,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P1,2,LOW,LOW,
partner.dsh.operations.control,app-partner,dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,dsh-partner-operations,Operations Control,partner,service,dsh,Partner operations control view — shift/capacity management,Show operational controls to partner,Manage operations,loading|empty|error|success|offline|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P0 — shares file with home dashboard,2,MEDIUM,MEDIUM,Shares PartnerHubScreen with home and settings
partner.dsh.orders.inbox,app-partner,dsh/frontend/app-partner/screens/OrdersInboxScreen.tsx,dsh-partner-orders,Orders Inbox,partner,service,dsh,Incoming order notification and management queue,Show incoming and active orders for partner to act on,Accept order,loading|empty|error|success|offline|retry,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P0 — primary order management surface,1,LOW,LOW,
partner.dsh.order.detail,app-partner,dsh/frontend/app-partner/screens/OrdersInboxScreen.tsx,dsh-partner-order-detail,Order Detail,partner,service,dsh,Full order detail view — items/captain/status,Show complete order information for partner action,Prepare order,loading|empty|error|success|offline|retry,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P0 — shares file with inbox; same flow acceptable,2,LOW,LOW,
partner.dsh.order.issue,app-partner,dsh/frontend/app-partner/screens/OperationScreens.tsx,dsh-partner-order-issue,Order Issue,partner,service,dsh,Partner reports or resolves an order issue,Allow partner to flag or resolve order problems,Report issue,loading|empty|error|success|offline|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,YES,SCREEN_ENTRY P0 — candidate for sheet within order detail,3,MEDIUM,NO,Lives in OperationScreens — monitor for growth
partner.dsh.inventory.catalog,app-partner,dsh/frontend/app-partner/screens/InventoryCatalogScreen.tsx,dsh-partner-inventory,Inventory Catalog,partner,service,dsh,Partner inventory and catalog management,Allow partner to manage item availability and catalog,Update inventory,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P0,2,LOW,LOW,
partner.dsh.promotions.intent,app-partner,dsh/frontend/app-partner/screens/PromotionsScreen.tsx,dsh-partner-promotions,Promotions,partner,service,dsh,Partner promotion intent and eligibility screen,Show available promotions and enrollment options,Enroll in promotion,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P1,3,LOW,LOW,
partner.dsh.notifications.list,app-partner,dsh/frontend/app-partner/screens/OperationScreens.tsx,dsh-partner-notifications,Partner Notifications,partner,service,dsh,Partner notification center,Show partner alerts and operational notifications,View notification,loading|empty|error|success|offline|retry,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P1 — shares OperationScreens file with order issue,2,MEDIUM,NO,
partner.dsh.settings.preferences,app-partner,dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,dsh-partner-settings,Partner Settings,partner,service,dsh,Partner app preferences and account settings,Allow partner to configure account preferences,Save settings,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P1 — shares PartnerHubScreen; god-screen risk,3,MEDIUM,MEDIUM,Hub file contains 3 registered screens
partner.dsh.support.center,app-partner,dsh/frontend/app-partner/screens/PartnerSupportScreen.tsx,dsh-partner-support,Support Center,partner,service,dsh,Partner support and help center,Allow partner to contact ops or access help resources,Contact support,loading|empty|error|success|offline|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P0,2,LOW,LOW,
partner.wlt.dsh.wallet.bridge,app-partner,wlt/frontend/app-partner/dsh/WltDshPartnerBridge.tsx,wlt-dsh-partner-wallet-bridge,WLT Partner Wallet Bridge,partner,integration,wlt.dsh,WLT-owned partner finance bridge — DSH presents WLT wallet surface,Show partner wallet and settlement summary,View wallet,loading|empty|error|success|offline|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P0 — WLT owned; DO NOT implement finance logic in DSH,3,LOW,LOW,serviceId=wlt linkedServiceId=dsh
partner.dsh.order.rejection,app-partner,dsh/frontend/app-partner/screens/DshPartnerOrderRejectionScreen.tsx,dsh-partner-order-rejection,Order Rejection,partner,app,app-partner,Partner explicitly rejects an incoming order with reason,Allow partner to reject order with reason code,Reject order,loading|success|error,READY_FOR_REVIEW,NEEDS_VISUAL_EVIDENCE,YES,NO,YES,FLOW_STEP P0 — candidate for sheet within orders inbox,2,LOW,LOW,ownerKind=app
captain.dsh.home.dashboard,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx,dsh-captain-home,Captain Home Dashboard,captain,app,app-captain,Captain home tab — navigation entry for DSH captain flows,Show captain current status and active orders,View orders,success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,TAB_ROOT P1 — DshCaptainSurface hosts 7 registered screens; split needed,0,HIGH,HIGH,DshCaptainSurface.tsx is god-file — 7 screens registered to it
captain.dsh.entry,app-captain,dsh/frontend/app-captain/screens/DshCaptainEntryScreen.tsx,dsh-captain-entry,Captain Entry,captain,service,dsh,Captain entry gate — checks eligibility and availability,Gate captain into service or show blocked state,Go online,loading|empty|error|success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P1 — distinct gate,1,LOW,LOW,
captain.dsh.orders.inbox,app-captain,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,dsh-captain-inbox,Orders Inbox,captain,service,dsh,Captain incoming order offer queue,Show new order offers for captain to accept,Accept offer,loading|empty|error|success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P0 — primary captain revenue screen,1,LOW,LOW,
captain.dsh.orders.detail,app-captain,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,dsh-captain-detail,Order Detail,captain,service,dsh,Full order detail for active captain assignment,Show pickup address / partner info / dropoff,Navigate to pickup,error|success|retry,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P0 — shares file with inbox; same flow,2,LOW,LOW,
