gap_id,flow_step,surface,screen_id,gap_type,needed_contract,why_needed,priority,blocked_by,openapi_action,status,notes
CG-001,discovery,app-client,"client.dsh.home.feed,client.dsh.entry,client.dsh.discovery.search",READ,GET /dsh/stores — store list with zone / ratings / ETA / open-status / category,Client discovery and home feed need to list available stores with real data; preview fixture is placeholder only,P0,Screen/API matrix + OpenAPI gate lift,ADD path GET /dsh/stores with query params zone category openStatus,NEEDS_CONTRACT_GAP,Feeds client.dsh.home.feed discovery and client.dsh.discovery.search; zone param requires client zone context; DO NOT edit OpenAPI in Loop 3
CG-002,storefront,app-client,"client.dsh.store.details,client.dsh.store.items",READ,GET /dsh/stores/:storeId — store detail including items / hours / description / images,Store detail and items list are the core conversion screens; no real data source exists,P0,CG-001 (store list provides storeId),ADD path GET /dsh/stores/:storeId with items sub-resource,NEEDS_CONTRACT_GAP,storeId flows from CG-001; items may be a sub-resource GET /dsh/stores/:storeId/items; Arabic content required
CG-003,cart,app-client,client.dsh.cart.review,READ+WRITE,GET /dsh/cart and PUT /dsh/cart — cart contents with item totals and WLT fee preview,Cart review must show real contents and allow client to add/remove/edit items before checkout,P0,CG-002 (items need storeId and itemId),ADD paths GET /dsh/cart and PUT /dsh/cart/:itemId,NEEDS_CONTRACT_GAP,WLT fee preview is DSH-displayed but WLT-calculated — DSH reads WLT fee via bridge; no WLT logic in DSH
CG-004,checkout,app-client,client.dsh.checkout.intent,READ+WRITE,GET /dsh/checkout/quote (serviceability + ETA + fee) and POST /dsh/checkout/intent,Checkout intent must get serviceability quote from DSH before handing off to WLT payment; no contract exists,P0,CG-003 (cart must be built before checkout intent),ADD paths GET /dsh/checkout/quote and POST /dsh/checkout/intent,NEEDS_CONTRACT_GAP,Serviceability quote triggers WLT fee calculation; DSH sends intent to WLT; WLT returns payment result; then DSH creates order via CG-005
CG-005,order-creation,app-client,"client.dsh.checkout.intent,client.dsh.orders.history",WRITE,POST /dsh/orders — create order after WLT payment callback,Order must be created in DSH after WLT returns payment success; no creation contract exists; client has no order confirmation state (ML-006),P0,CG-004 (WLT payment must succeed first),ADD path POST /dsh/orders triggered after WLT callback,NEEDS_CONTRACT_GAP,ML-006 order-created confirmation state depends on this contract returning orderId; blocked by WLT payment integration
CG-006,order-history,app-client,"client.dsh.orders.history,client.dsh.my-space.home",READ,GET /dsh/orders — client order history list with statuses paginated,Client order history screen has no real data source; preview fixtures are static,P0,CG-005 (orders must exist before listing),ADD path GET /dsh/orders?clientId=:id with status filter and pagination,NEEDS_CONTRACT_GAP,deepLink=/dsh/orders; feeds client.dsh.orders.history and my-space summary
CG-007,order-tracking,app-client,client.dsh.order.tracking.live,READ+STREAM,GET /dsh/orders/:orderId/tracking — real-time order status and captain location stream,Live tracking screen needs streaming captain GPS and order status updates; no binding or runtime proof exists,P0,CG-005 (order must exist) + captain GPS integration,ADD path GET /dsh/orders/:orderId/tracking with SSE or WebSocket binding,NEEDS_CONTRACT_GAP,Captain GPS is a runtime dependency — explicitly unproven; streaming binding is blocking for all tracking screens
CG-008,order-status,app-client,"client.dsh.order.tracking.live,client.dsh.orders.history",READ,GET /dsh/orders/:orderId/status — structured order state machine status,Order status must be machine-readable for state transitions (pending/preparing/out-for-delivery/delivered/cancelled); preview is static,P0,CG-005 (order must exist),ADD path GET /dsh/orders/:orderId/status returning status enum,NEEDS_CONTRACT_GAP,Status enum must match 22-state lifecycle; drives all tracking states
CG-009,order-cancellation,app-client,client.dsh.order.tracking.live,WRITE,POST /dsh/orders/:orderId/cancel — client-initiated order cancellation with reason,Client cancellation flow is entirely MISSING (ML-007); no API contract or screen exists,P1,CG-005 (order must exist) + cancellation screen skeleton (Loop 4),ADD path POST /dsh/orders/:orderId/cancel with reason code,NEEDS_CONTRACT_GAP,Cancellation may trigger WLT reversal if payment was captured — WLT-owned; DSH sends cancel intent only
CG-010,refund-status,app-client,"client.dsh.order.tracking.live,client.dsh.orders.history",READ,GET /dsh/orders/:orderId/refund-status — WLT refund bridge status read-only,Client refund status is MISSING (ML-008); client has zero visibility of WLT refund progress,P0,WLT refund execution (WLT-owned) + Loop 4 skeleton,ADD path GET /dsh/orders/:orderId/refund-status that proxies WLT refund state,NEEDS_CONTRACT_GAP,DSH reads refund status from WLT bridge; no money semantics in DSH; ML-008 depends on this
