operation_key,surface,why_here,owner,lifecycle_position,participation_status,source_status,source_trace,notes
dsh_store_discovery,app-client,"customer discovery begins on the customer entry surface",customer,entry,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","no clean basis for partner or control-panel duplication"
dsh_cart_checkout_gate,app-client,"checkout gating belongs to the customer entry surface",customer,checkout_gate,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","finance truth remains outside DSH surface ownership"
dsh_order_submit,app-client,"customer confirms and submits the order here before downstream handling begins",customer,pending_entry,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_UX_FLOW; DSH_COVERAGE_MATRIX","partner handling is modeled as a separate downstream operation family"
dsh_customer_order_tracking,app-client,"customer lifecycle visibility returns to the customer surface here",customer,in_flight_visibility,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_UX_FLOW; DSH_COVERAGE_MATRIX","mirror visibility elsewhere does not create tracking ownership"
dsh_customer_order_chat,app-client,"customer-side communication belongs on the customer surface",customer,active_order_support,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","chat stays on participating execution surfaces rather than control-panel"
dsh_customer_order_chat,app-partner,"partner participates directly in active-order communication",partner,active_order_support,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","partner communication does not create ownership of customer entry"
dsh_customer_order_chat,app-captain,"captain participates directly in active-order communication",captain,active_order_support,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","captain chat participation remains execution-adjacent"
dsh_partner_order_handling,app-partner,"partner order work belongs to the partner execution surface",partner,partner_fulfillment,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","internal oversight remains separate from partner action ownership"
dsh_partner_store_maintenance,app-partner,"partner store maintenance belongs to the partner workspace",partner,partner_readiness,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","donor MCPW mirroring is rejected for the clean target model"
dsh_captain_offer_and_acceptance,app-captain,"captain assignment and acceptance belong to the captain surface",captain,assignment,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_UX_FLOW; DSH_COVERAGE_MATRIX","ops visibility does not create a second ownership surface"
dsh_captain_delivery_execution,app-captain,"delivery execution belongs to the captain execution surface",captain,delivery_execution,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_UX_FLOW; DSH_COVERAGE_MATRIX","customer visibility is covered separately through tracking"
dsh_delivery_proof_and_verification,app-captain,"proof capture belongs with captain execution at completion time",captain,completion_gate,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","proof remains an explicit completion gate"
dsh_delivery_proof_and_verification,app-client,"customer-side confirmation may appear when proof needs visibility back on the client side",customer,completion_confirmation_optional,OPTIONAL,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","customer verification remains optional until later screen proof says otherwise"
dsh_field_activation_support,app-field,"field activation work belongs only to the field support surface",field,optional_support,OPTIONAL,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","service-level field usage is optional even when the field-owned family is active"
dsh_proxy_request_flow,app-client,"proxy flow begins with customer initiation on the client surface",customer,exception_entry,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_MCPW_SECTION_MAP","this is a true dual-surface family with internal follow-through"
dsh_proxy_request_flow,control-panel,"internal approval rejection or intervention belongs on the internal governance surface",ops,exception_review,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_MCPW_SECTION_MAP","proxy review is one of the few evidence-backed clean control-panel families"
dsh_ops_governance_controls,control-panel,"internal governance and exception controls belong only to control-panel",ops,governance_intervention,REQUIRED,observed,"OPERATIONS_CATALOG; DSH_MCPW_SECTION_MAP; DSH_SERVICE_SCOPE","effects may reach other surfaces without moving ownership out of control-panel"
