gap_id,loop,surface,actor,original_gap_type,precise_kind,recommended_file_or_parent,priority,blocked_by,current_status,execution_decision,allowed_shape,protected_notes
ML-001,LOOP-02_FIELD_PARTNER_MANAGEMENT,control-panel,ops,OPS_ACTION,SECTION,SECTION within ControlPanelDshPartnerApprovalsScreen.tsx,P0,none,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,FIX_UI_UX_FLOW_THEN_VISUAL_REVIEW_REQUIRED,Panel/Queue/Section inside existing Control Panel domain; Workspace only if justified.,"Correct owner terminology: Partner Management / قسم الشركاء, not general ops."
ML-002,LOOP-02_FIELD_PARTNER_MANAGEMENT,app-field,field,SECTION,SECTION,SECTION within DshFieldStoreOnboardingScreen.tsx,P1,none,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,FIX_UI_UX_FLOW_THEN_VISUAL_REVIEW_REQUIRED,Section inside current parent screen; no route.,
ML-003,LOOP-02_FIELD_PARTNER_MANAGEMENT,app-field,field,SECTION,SECTION,SECTION within DshFieldStoreVisitScreen.tsx,P1,none,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,FIX_UI_UX_FLOW_THEN_VISUAL_REVIEW_REQUIRED,Section inside current parent screen; no route.,
ML-004,LOOP-02_FIELD_PARTNER_MANAGEMENT,app-field,field,STATE,STATE,STATE within DshFieldReadinessEscalationScreen.tsx (pending-response / approved / rejected),P1,ML-001 (ops approval needed first),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,State/event inside current screen; preview/local-state only.,"Correct owner terminology: Partner Management / قسم الشركاء, not general ops."
ML-005,LOOP-02_FIELD_PARTNER_MANAGEMENT,app-field,field,STATE,STATE,STATE within DshFieldStoreOnboardingScreen.tsx (activated / exit),P1,none,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,FIX_UI_UX_FLOW_THEN_VISUAL_REVIEW_REQUIRED,State/event inside current screen; preview/local-state only.,
ML-006,LOOP-03_APP_CLIENT_PROTECTED_LOGIC,app-client,client,STATE,STATE,STATE within DshCheckoutIntentScreen.tsx (order-created-confirmation) OR new skeleton OrderConfirmationScreen,P0,WLT handoff contract (CG-005),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_WLT_OR_CONTRACT,Protected app-client: preserve existing visual design; add only minimal state/sheet/section wiring; MySpace tabs may be fixed; no redesign.,APP_CLIENT_DESIGN_PROTECTED; existing visual review mostly completed; do not redesign; only logic-safe micro-fixes.
ML-007,LOOP-03_APP_CLIENT_PROTECTED_LOGIC,app-client,client,SHEET,SHEET,SHEET from OrdersTrackingScreens.tsx (cancel-order-sheet),P1,cancellation API contract (CG-009),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_WLT_OR_CONTRACT,Protected app-client: preserve existing visual design; add only minimal state/sheet/section wiring; MySpace tabs may be fixed; no redesign.,APP_CLIENT_DESIGN_PROTECTED; existing visual review mostly completed; do not redesign; only logic-safe micro-fixes.
ML-008,LOOP-03_APP_CLIENT_PROTECTED_LOGIC,app-client,client,WLT_BRIDGE,READ_ONLY_BRIDGE_PANEL,STATE within OrdersTrackingScreens.tsx (refund-in-progress / refunded) or new skeleton RefundStatusScreen,P0,WLT refund status API (CG-010),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_WLT_OR_CONTRACT,Protected app-client: preserve existing visual design; add only minimal state/sheet/section wiring; MySpace tabs may be fixed; no redesign.,APP_CLIENT_DESIGN_PROTECTED; existing visual review mostly completed; do not redesign; only logic-safe micro-fixes.
ML-009,LOOP-03_APP_CLIENT_PROTECTED_LOGIC,app-client,client,STATE,STATE,STATE within DshCheckoutIntentScreen.tsx (payment-failed with WLT error message),P0,WLT payment result (CG-004),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_WLT_OR_CONTRACT,Protected app-client: preserve existing visual design; add only minimal state/sheet/section wiring; MySpace tabs may be fixed; no redesign.,APP_CLIENT_DESIGN_PROTECTED; existing visual review mostly completed; do not redesign; only logic-safe micro-fixes.
ML-010,LOOP-03_APP_CLIENT_PROTECTED_LOGIC,app-client,client,STATE,STATE,STATE within DshCheckoutIntentScreen.tsx (quote-unavailable + retry CTA),P1,serviceability quote API (CG-004),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Protected app-client: preserve existing visual design; add only minimal state/sheet/section wiring; MySpace tabs may be fixed; no redesign.,APP_CLIENT_DESIGN_PROTECTED; existing visual review mostly completed; do not redesign; only logic-safe micro-fixes.
