route_id,surface,screen_id,file_path,route_exists,mounted_from,entry_point,loading_state,empty_state,error_state,offline_state,disabled_state,success_state,primary_cta,cta_destination,rtl_risk,overflow_risk,status,notes
dsh-home,app-client,client.dsh.home.feed,dsh/frontend/app-client/screens/HomeScreen.tsx,YES,app-shell/tab-navigator (TAB_ROOT),/dsh,YES,YES,YES,YES,NO,YES,Browse stores,dsh-store,HIGH,LOW,VERIFIED,P0 deepLink=/dsh — primary discovery entry; Arabic store names and category labels carry RTL risk
dsh-entry,app-client,client.dsh.entry,dsh/frontend/app-client/screens/EntryScreen.tsx,YES,app-shell/tab-navigator or initial-stack (SCREEN_ENTRY),/dsh/entry,YES,NO,YES,YES,NO,YES,Enter service,dsh-home,LOW,LOW,VERIFIED,P1 gate screen; blocked state if zone not serviceable
dsh-my-space,app-client,client.dsh.my-space.home,dsh/frontend/app-client/screens/MySpaceScreen.tsx,YES,stack-navigator from tab-navigator (SCREEN_ENTRY),/dsh/my-space,YES,YES,YES,YES,YES,YES,View my space,dsh-orders,HIGH,MEDIUM,VERIFIED,P1 personal hub; subscriptions + loyalty sections live here — god-screen risk if sections grow
dsh-notifications,app-client,client.dsh.notifications.list,dsh/frontend/app-client/screens/NotificationsScreen.tsx,YES,stack-navigator from tab-navigator (SCREEN_ENTRY),/dsh/notifications,YES,YES,YES,YES,YES,YES,View notification,dsh-tracking,HIGH,LOW,VERIFIED,P1 distinct from BellScreen modal; Arabic notification content carries HIGH RTL risk
dsh-store-items,app-client,client.dsh.store.items,dsh/frontend/app-client/screens/StoreItemsScreen.tsx,YES,stack-push from dsh-store (FLOW_STEP),/dsh/store/:storeId/items,YES,YES,YES,YES,NO,YES,Add to cart,dsh-cart,HIGH,LOW,VERIFIED,P1 item names and prices in Arabic
dsh-cart,app-client,client.dsh.cart.review,dsh/frontend/app-client/screens/CartScreen.tsx,YES,stack-push from dsh-store-items (FLOW_STEP),/dsh/cart,YES,YES,YES,YES,NO,YES,Proceed to checkout,dsh-checkout-intent,MEDIUM,LOW,VERIFIED,P0 linkedServiceId=wlt — WLT totals display; blocked state if items unavailable
dsh-favorite-toggle,app-client,client.dsh.favorites.toggle,dsh/frontend/app-client/screens/FavoriteToggleScreen.tsx,YES,stack-push or sheet from dsh-store / dsh-favorites (FLOW_STEP — sheet candidate),/dsh/favorites/toggle,YES,NO,YES,NO,NO,YES,Toggle favorite,dsh-home,LOW,LOW,VERIFIED,P2 action-only; recommend converting to sheet in Loop 5 to reduce click depth
dsh-favorites,app-client,client.dsh.favorites.list,dsh/frontend/app-client/screens/FavoritesScreen.tsx,YES,stack-navigator from tab-navigator (SCREEN_ENTRY),/dsh/favorites,YES,YES,YES,NO,NO,YES,Browse favorites,dsh-store,HIGH,LOW,VERIFIED,P2 Arabic store names carry RTL risk
dsh-search,app-client,client.dsh.discovery.search,dsh/frontend/app-client/screens/SearchScreen.tsx,YES,stack-navigator from tab-navigator (SCREEN_ENTRY),/dsh/search,YES,YES,YES,NO,NO,YES,Search,dsh-store,HIGH,LOW,VERIFIED,P1 Arabic-first full-text search — HIGH RTL risk for right-to-left input and results
dsh-store,app-client,client.dsh.store.details,dsh/frontend/app-client/screens/StoreScreen.tsx,YES,stack-push from dsh-home or dsh-search (FLOW_STEP),/dsh/store/:storeId,YES,NO,YES,YES,NO,YES,View menu,dsh-store-items,MEDIUM,LOW,VERIFIED,P0 fallback=dsh-home; store hours and description in Arabic
dsh-bell,app-client,client.dsh.bell,dsh/frontend/app-client/screens/BellScreen.tsx,YES,modal-presentation from dsh-tracking or tab-navigator (MODAL),/dsh/bell,YES,YES,YES,YES,NO,YES,Dismiss or act on notification,dsh-tracking,LOW,LOW,VERIFIED,P2 modal contextual to tracking; quick dismissal expected
dsh-benefits,app-client,client.dsh.benefits.home,dsh/frontend/app-client/screens/BenefitsScreen.tsx,YES,stack-navigator from tab-navigator (FLOW_STEP),/dsh/benefits,YES,NO,YES,YES,YES,YES,Explore benefits,dsh-benefits (loyalty section),MEDIUM,MEDIUM,VERIFIED,P1 LoyaltyRewardsScreen.tsx is a section inside this screen — god-screen risk if sections grow
dsh-conversation-workspace,app-client,client.dsh.conversation.workspace,dsh/frontend/app-client/screens/OperationScreens.tsx,YES,stack-push from dsh-tracking (FLOW_STEP — OperationScreens god-file),/dsh/conversation/:orderId,YES,NO,YES,NO,NO,YES,Send message,dsh-tracking,HIGH,HIGH,VERIFIED,P1 lives in OperationScreens god-file; thread_type differentiation needed (captain vs ops — ML-011)
dsh-listing-status-update,app-client,client.dsh.listing.status-update,dsh/frontend/app-client/screens/OperationScreens.tsx,YES,stack-push or sheet from dsh-orders (FLOW_STEP — sheet candidate),/dsh/listing-status,YES,NO,YES,NO,NO,YES,Acknowledge update,dsh-orders,MEDIUM,LOW,VERIFIED,P2 lives in OperationScreens god-file; candidate for SHEET within order tracking screen
dsh-order-issue-workspace,app-client,client.dsh.order.issue.workspace,dsh/frontend/app-client/screens/OperationScreens.tsx,YES,stack-push or sheet from dsh-tracking (FLOW_STEP — sheet candidate),/dsh/order-issue/:orderId,YES,NO,YES,NO,NO,YES,Report issue,dsh-tracking,HIGH,MEDIUM,VERIFIED,P1 lives in OperationScreens god-file; Arabic issue text has HIGH RTL risk
dsh-proxy-workspace,app-client,client.dsh.proxy.workspace,dsh/frontend/app-client/screens/OperationScreens.tsx,YES,stack-push from dsh-home proxy service entry (FLOW_STEP),/dsh/proxy,YES,NO,YES,NO,NO,YES,Place proxy order,dsh-tracking,MEDIUM,MEDIUM,VERIFIED,P2 hosts SheinOrderCreateScreen and AwnakOrderCreateScreen parts; lives in OperationScreens god-file
dsh-service-settings,app-client,client.dsh.service.settings,dsh/frontend/app-client/screens/OperationScreens.tsx,YES,stack-push from dsh-my-space or tab-navigator (FLOW_STEP),/dsh/service-settings,YES,NO,YES,NO,NO,YES,Save settings,dsh-my-space,LOW,LOW,VERIFIED,P2 lives in OperationScreens god-file; settings form is low complexity
dsh-zone-set,app-client,client.dsh.zone.set,dsh/frontend/app-client/screens/OperationScreens.tsx,YES,bottom-sheet or stack from dsh-home / dsh-checkout-intent (SHEET candidate),/dsh/zone-set,YES,NO,YES,NO,NO,YES,Set zone,dsh-home,MEDIUM,LOW,VERIFIED,P2 zone names in Arabic — MEDIUM RTL risk; candidate for sheet implementation
dsh-orders,app-client,client.dsh.orders.history,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,YES,tab-navigator (SCREEN_ENTRY),/dsh/orders,YES,YES,YES,YES,NO,YES,View order,dsh-tracking,HIGH,LOW,VERIFIED,P0 deepLink=/dsh/orders; Arabic order names and dates carry HIGH RTL risk; grouped in same file as tracking (acceptable — same flow)
