gap_id,file,surface,module_index_export,rendered_by_surface,blocker,classification_v7,v7_change,notes
ML-001,control-panel/partners/ControlPanelDshPartnerApprovalsScreen.tsx,control-panel,YES (partners/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,partner management API not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,DshControlPanelSurfaceHost single-module architecture; not mountable without owner decision
ML-002,app-field/sections/DocumentVerificationSection.tsx,app-field,YES (sections/index.ts),YES — DshFieldStoreOnboardingScreen renders when activeSectionId==='documents',document upload API not proven,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NEWLY WIRED IN V7,"Added 'documents' to FieldOnboardingSectionId; inserted between 'photos' and 'products' in fieldSectionOrder; documents:0 in sectionMissing (non-blocking); case in renderSectionContent()"
ML-003,app-field/sections/VisitEvidenceSection.tsx,app-field,YES (sections/index.ts),YES — DshFieldStoreVisitScreen renders VisitEvidenceSection as evidence capture section,evidence upload API not proven,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NEWLY WIRED IN V7,Rendered alongside existing demoEvidenceItems; capture buttons are no-ops (optional callbacks); confirm button disabled
ML-005,app-field/screens/DshFieldStoreOnboardingScreen.tsx,app-field,YES (app-field index),YES — DshFieldSurface renders when route.kind==='onboarding',none,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NO CHANGE,Confirmed wired from V6
ML-006,app-client/screens/DshCheckoutIntentScreen.tsx,app-client,YES (app-client index),NO — DshClientSurface has no checkout-intent route,WLT payment callback CG-004/CG-005 not proven,REGISTERED_ROUTE_BLOCKED_BY_SURFACE,RECLASSIFIED FROM REGISTERED_ROUTE_ONLY,Cannot wire without WLT integration and CartScreen navigation changes
ML-007,app-client/sheets/CancelOrderSheet.tsx,app-client,YES (sheets/index.ts),NO — DshClientSurface does not mount this sheet,CG-009 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Requires WLT refund handoff
ML-008,app-client/screens/OrdersTrackingScreens.tsx,app-client,YES (app-client index),YES — DshClientSurface renders DshOrdersListScreen and DshTrackingScreen,WLT refund bridge CG-010/CG-035 for refund status,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NO CHANGE,Both screens wired; WLT state blocked within screen not wiring
ML-009,app-client/screens/DshCheckoutIntentScreen.tsx,app-client,YES (app-client index),NO — same as ML-006,WLT payment result CG-004,REGISTERED_ROUTE_BLOCKED_BY_SURFACE,RECLASSIFIED FROM REGISTERED_ROUTE_ONLY,Duplicate gap entry for ML-006
ML-016,app-partner/sheets/AcceptanceTimerSheet.tsx,app-partner,YES (sheets/index.ts),NO — DshPartnerSurface does not mount this sheet,CG-021 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Requires DshPartnerSurface sheet mounting + API
ML-017,app-partner/screens/PartnerHubScreen.tsx,app-partner,YES (app-partner index),YES — DshPartnerSurface renders when route==='home',partner availability API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NO CHANGE,Confirmed wired from V6
