screen_id,surface,flow_step,needed_data,needed_action,existing_source,existing_contract,required_contract_gap,binding_status,runtime_status,status,notes
client.dsh.home.feed,app-client,discovery,GET stores list with ratings / open status / ETA / category / zone,none (read-only browse),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-001 — GET /dsh/stores?zone=:zone; requires zone and serviceability context
client.dsh.entry,app-client,discovery-gate,GET zone serviceability status / client activation status,none (read-only gate),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-001 sub-call or dedicated GET /dsh/zone/serviceability — gate before home feed
client.dsh.my-space.home,app-client,account,GET client profile / order history summary / subscription status / loyalty balance,none (read-only hub),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-006 (orders summary) + profile API — no separate contract gap; derives from orders and profile
client.dsh.notifications.list,app-client,notifications,GET notification list (order updates / promotions) paginated,PUT notification read/dismissed,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Notifications API — separate from order status; push token registration also needed
client.dsh.store.items,app-client,storefront,GET store items list with price / availability / add-on options,none (browse),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-002 — GET /dsh/stores/:id/items; item availability must reflect partner inventory state
client.dsh.cart.review,app-client,checkout,GET cart contents with item totals / WLT fee preview / discount,PUT cart (add/remove/edit items),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-003 — GET+PUT /dsh/cart; WLT fee preview is read-only display — WLT-owned
client.dsh.favorites.toggle,app-client,discovery,GET current favorite status for store or item,POST/DELETE /dsh/favorites/:targetId,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Favorites API — lightweight toggle; no separate CG needed if part of store/item contract
client.dsh.favorites.list,app-client,discovery,GET client's saved favorites (stores and items) paginated,none (read-only list),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Favorites list derives from favorites toggle contract — GET /dsh/favorites
client.dsh.discovery.search,app-client,discovery,GET search results for stores and items by query / zone / category,none (read-only search),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-001 variant — GET /dsh/search?q=:query&zone=:zone; Arabic-first full-text search
client.dsh.store.details,app-client,storefront,GET store detail (info / hours / rating / zone coverage),none (read-only detail),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-002 — GET /dsh/stores/:id; hours and description must be Arabic-ready
client.dsh.bell,app-client,notifications,GET active order alerts (bell modal),PUT alert dismissed,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Bell reads subset of notifications API — GET /dsh/notifications?type=order_alert; modal context
client.dsh.benefits.home,app-client,benefits,GET benefits list / loyalty balance / tier / cashback / subscription status,none (read-only hub),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Benefits and loyalty API — GET /dsh/benefits and GET /dsh/loyalty; ML-012 ML-013 sections derive from these
client.dsh.conversation.workspace,app-client,support-chat,GET conversation thread (messages) for order / captain or support,POST message to thread,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-030 CG-031 — GET+POST /dsh/messaging/:orderId/messages; thread_type flag needed (ML-011)
client.dsh.listing.status-update,app-client,order-status,GET listing/store status update notification for order,PUT notification acknowledged,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Derives from CG-008 order status or notification API; no dedicated contract gap needed
client.dsh.order.issue.workspace,app-client,support,GET order issue history for order / GET conversation thread,POST support ticket / POST message,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-012 — POST /dsh/support/tickets; GET issue history from order API
client.dsh.proxy.workspace,app-client,proxy-order,GET proxy order options (Shein/Awnak catalog),POST proxy order intent,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Proxy order API — separate domain from core DSH orders; Awnak/Shein integration needed
client.dsh.service.settings,app-client,account-settings,GET client DSH service preferences,PUT service preferences,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Settings API — GET+PUT /dsh/settings/client/:id; low complexity
client.dsh.zone.set,app-client,zone-management,GET available zones / GET current zone,PUT client zone preference,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Zone API — GET /dsh/zones (with serviceability) + PUT /dsh/zone/client/:id; feeds serviceability quote
client.dsh.orders.history,app-client,order-history,GET client order history list (all statuses) paginated,none (read-only list),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-006 — GET /dsh/orders?clientId=:id; supports deepLink=/dsh/orders
client.dsh.order.tracking.live,app-client,order-tracking,GET order status + captain live location (STREAM),none (read-only tracking),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-007 — GET /dsh/orders/:id/tracking (STREAM); captain location requires real-time binding; ML-008 refund state also needed here
client.dsh.order.rating,app-client,post-delivery,GET order summary for rating context,POST rating (score + comment + captain rating),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-011 — POST /dsh/orders/:id/rating; triggers after delivered state
client.dsh.checkout.intent,app-client,checkout,GET serviceability quote (ETA / fee / zone) / WLT payment intent,POST checkout intent → WLT payment handoff → DSH order creation,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-004 (GET serviceability quote) + CG-005 (POST order after WLT callback); ML-006 order-created state needs CG-005; ML-009 payment-failed state needs WLT error mapping
partner.dsh.home.dashboard,app-partner,partner-ops,GET partner daily summary (active orders / pending count / revenue preview),none (read-only dashboard),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Partner dashboard API — GET /dsh/partner/dashboard; aggregated read from order and store APIs
partner.dsh.entry.status,app-partner,partner-gate,GET partner activation status / onboarding completion state,none (read-only gate),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Partner status API — GET /dsh/partner/status; ML-020 availability state may also derive from here
partner.dsh.store.profile,app-partner,partner-profile,GET store profile details (name / hours / description / images),PUT store profile,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Store profile API — GET+PUT /dsh/partner/store/:id; Arabic-first content
partner.dsh.operations.control,app-partner,partner-ops,GET partner operational status (availability / shift / capacity),PUT availability toggle,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Partner operations API — ML-017 availability toggle gap; PUT /dsh/partner/availability
partner.dsh.orders.inbox,app-partner,order-intake,GET incoming and active orders list (real-time or polling),none (real-time read),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-020 — GET /dsh/partner/orders?status=incoming; ML-016 acceptance timer needs countdown from order API
partner.dsh.order.detail,app-partner,order-intake,GET order detail (items / client zone / captain assignment),PATCH order status (preparation progress / ready),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-020 + CG-023 — GET /dsh/partner/orders/:id + PATCH status; ML-018 ML-019 ML-020 preparation states derive from PATCH
partner.dsh.order.issue,app-partner,order-exception,GET order detail for context,POST order issue report / GET issue conversation thread,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Order issue API — POST /dsh/partner/orders/:id/issue; threads from CG-030
partner.dsh.inventory.catalog,app-partner,catalog-management,GET partner catalog (categories / items / availability),PUT item availability / PUT item details,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Catalog API — GET+PUT /dsh/partner/catalog; feeds CP catalog approvals
partner.dsh.promotions.intent,app-partner,promotions,GET available promotions for partner / GET enrollment status,POST promotion enrollment,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Promotions API — GET /dsh/promotions?partnerId=:id + POST enrollment; feeds CP marketing section
partner.dsh.notifications.list,app-partner,notifications,GET partner notification list (order alerts / ops messages / system),PUT notification read,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Partner notifications API — GET /dsh/partner/notifications; ML-022 ops messaging gap means ops messages currently not delivered
partner.dsh.settings.preferences,app-partner,account-settings,GET partner preferences,PUT preferences,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Partner settings API — GET+PUT /dsh/partner/settings/:id
partner.dsh.support.center,app-partner,support,GET partner support options / GET existing tickets,POST support ticket,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-012 variant — POST /dsh/partner/support/tickets; ticket list GET from same endpoint
partner.wlt.dsh.wallet.bridge,app-partner,finance,WLT-owned — DSH reads WLT bridge response only,none — WLT handles all actions,WLT bridge (external),none — WLT-owned,NO,UI_PREVIEW_ONLY,UNPROVEN,WLT_BRIDGE_ONLY,WLT-owned entirely; DSH presents WLT wallet surface read-only; DO NOT add finance logic in DSH
partner.dsh.order.rejection,app-partner,order-exception,GET order detail for rejection context,POST order rejection with reason code,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-022 — POST /dsh/partner/orders/:id/reject with reason; triggers WLT reversal if payment captured
captain.dsh.home.dashboard,app-captain,captain-home,GET captain current status / active assignment summary,none (read-only home),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Captain dashboard API — GET /dsh/captain/status; ML-026 availability toggle needs PUT /dsh/captain/availability
captain.dsh.entry,app-captain,captain-gate,GET captain activation status / eligibility / zone,POST go-online (availability toggle),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-019 — POST /dsh/captain/availability; gate before offers inbox
captain.dsh.orders.inbox,app-captain,offer-queue,GET active offers list (order assignments for captain) with timer,none (real-time read),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-013 — GET /dsh/captain/offers; real-time or push-based; ML-024 decline needs CG-015
captain.dsh.orders.detail,app-captain,order-detail,GET order detail (store address / client dropoff / item summary),none (read-only detail before accept),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-013 + CG-014 context — order detail before and after acceptance; Arabic addresses HIGH RTL risk
