gap_id,file,surface,module_index_export,rendered_by_surface,blocker,classification,v6_correction,notes
ML-001,control-panel/partners/ControlPanelDshPartnerApprovalsScreen.tsx,control-panel,YES (partners/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,partner management API not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,PATH CORRECTED: old matrix listed wrong path (control-panel/operations/); file is in control-panel/partners/,"DshControlPanelSurfaceHost does not mount partners screens; not in OperationsHubScreen SCREEN_RENDERERS (11 entries: command-center/live-orders/dispatch-assignment/geo-heatmap/sheinproxy/proxy-shein-awnak/captain-operations/partner-stores/area-capacity/exceptions-escalations/audit-support-sla)"
ML-002,app-field/sections/DocumentVerificationSection.tsx,app-field,YES (sections/index.ts — created in V6),NO — DshFieldStoreOnboardingScreen uses renderSectionContent() inline and does not import this section,document upload API not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,FALSE CLAIM IN V6: gate said ORPHAN_SKELETON resolved via sections/index.ts creation; truth is parent screen still does not import DocumentVerificationSection,"Exported from sections/index.ts but DshFieldStoreOnboardingScreen has its own renderSectionContent() function; import of DocumentVerificationSection absent from that screen"
ML-003,app-field/sections/VisitEvidenceSection.tsx,app-field,YES (sections/index.ts — created in V6),NO — DshFieldStoreVisitScreen has inline demoEvidenceItems rendering and does not import this section,evidence upload API not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,MISSING FROM OLD MATRIX: was not tracked in V6 skeleton wiring matrix at all; added in V6.1 repair,"Exported from sections/index.ts but DshFieldStoreVisitScreen uses its own demoEvidenceItems with ListItem rendering; VisitEvidenceSection import absent from that screen"
ML-005,app-field/screens/DshFieldStoreOnboardingScreen.tsx,app-field,YES (app-field index),YES — DshFieldSurface renders when route.kind === 'onboarding',none,WIRED_IN_FLOW,NO CHANGE: correctly classified as wired in V6,Screen confirmed rendered by DshFieldSurface; success/exit state skeleton present in screen
ML-006,app-client/screens/DshCheckoutIntentScreen.tsx,app-client,YES (app-client index),NO — DshClientSurface has no checkout-intent route,WLT payment callback (CG-004/CG-005) not proven,REGISTERED_ROUTE_ONLY,RECLASSIFIED: old matrix said WIRED_BLOCKED_BY_CONTRACT; DshClientSurface source read confirms no checkout-intent route exists,"DshClientSurface routes: entry/my-space/notifications/store-get/store-items/cart-get/favorite-toggle/favorites-list/search/benefits/conversation-workspace/order-issue-workspace/proxy-workspace/listing-status-update/zone-set/service-settings/orders-list/tracking/bell — no checkout-intent"
ML-007,app-client/sheets/CancelOrderSheet.tsx,app-client,YES (sheets/index.ts),NO — DshClientSurface does not mount any sheet from app-client/sheets/,CG-009 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,ALIGNED: was EXPORTED_NOT_MOUNTED_BLOCKED_BY_CONTRACT; classification value updated to match V6.1 scheme,Sheet exported from sheets/index.ts; no mounting point in DshClientSurface
ML-008,app-client/screens/OrdersTrackingScreens.tsx,app-client,YES (app-client index),YES — DshClientSurface renders DshOrdersListScreen (route=orders-list) and DshTrackingScreen (route=tracking),WLT refund bridge (CG-010/CG-035) for refund status state within DshTrackingScreen,WIRED_IN_FLOW,RECLASSIFIED: old matrix said WIRED_BLOCKED_BY_WLT; surface DOES render both exported screens; WLT-blocked state is within the screen not the wiring,Both DshOrdersListScreen and DshTrackingScreen are rendered by DshClientSurface; refund status state within DshTrackingScreen remains blocked by WLT CG-010/CG-035
ML-009,app-client/screens/DshCheckoutIntentScreen.tsx,app-client,YES (app-client index),NO — DshClientSurface has no checkout-intent route (same screen as ML-006),WLT payment result (CG-004),REGISTERED_ROUTE_ONLY,RECLASSIFIED: old matrix said WIRED_NEEDS_VISUAL_REVIEW; same finding as ML-006 — screen not rendered by DshClientSurface,"Payment error state implemented in screen (paymentErrorMessage + StateView + retry CTA) but screen itself is not rendered by DshClientSurface within dsh/frontend scope; duplicate gap entry for same file as ML-006"
ML-016,app-partner/sheets/AcceptanceTimerSheet.tsx,app-partner,YES (sheets/index.ts),NO — DshPartnerSurface does not mount any app-partner sheet,CG-021 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,ALIGNED: was EXPORTED_NOT_MOUNTED_BLOCKED_BY_CONTRACT; classification value updated to match V6.1 scheme,Sheet exported from sheets/index.ts; DshPartnerSurface does not render AcceptanceTimerSheet
ML-017,app-partner/screens/PartnerHubScreen.tsx,app-partner,YES (app-partner index),YES — DshPartnerSurface renders DshPartnerHubSurface when route === 'home',partner availability API,WIRED_IN_FLOW,NO CHANGE: correctly classified as wired in V6,Availability toggle state within PartnerHubScreen is blocked by partner availability API but screen is wired to surface
ML-018,app-partner/screens/OrdersInboxScreen.tsx,app-partner,YES (app-partner index),YES — DshPartnerSurface renders OrdersInboxScreen when route === 'inbox',CG-023,WIRED_IN_FLOW,NO CHANGE: correctly classified as wired in V6,preparation-started state skeleton present; screen is wired via route 'inbox' in DshPartnerSurface
ML-019,app-partner/screens/OrdersInboxScreen.tsx,app-partner,YES (app-partner index),YES — DshPartnerSurface renders OrdersInboxScreen when route === 'inbox',CG-023,WIRED_IN_FLOW,NO CHANGE: correctly classified as wired in V6,preparation-progress state skeleton present; same file as ML-018
ML-020,app-partner/screens/OrdersInboxScreen.tsx,app-partner,YES (app-partner index),YES — DshPartnerSurface renders OrdersInboxScreen when route === 'inbox',CG-023,WIRED_IN_FLOW,NO CHANGE: correctly classified as wired in V6,mark-ready CTA and ready-for-pickup state skeleton present; same file as ML-018
ML-024,app-captain/sheets/OfferDeclineSheet.tsx,app-captain,YES (sheets/index.ts),NO — DshCaptainSurface does not mount any captain sheet,CG-015 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,ALIGNED: was EXPORTED_NOT_MOUNTED_BLOCKED_BY_CONTRACT; classification value updated to match V6.1 scheme,Sheet exported from sheets/index.ts; DshCaptainSurface does not render OfferDeclineSheet
ML-025,app-captain/screens/DshCaptainMapScreen.tsx,app-captain,YES (app-captain index + dsh-captain.screen-registry.ts status=UNPROVEN),NO — DshCaptainSurface has no map render branch,none,REGISTERED_ROUTE_ONLY,ALIGNED: old matrix said REGISTERED_NOT_INTEGRATED; classification aligned to V6.1 scheme; V6 FINAL_READY_GATE made no explicit false claim for ML-025 wiring,"Screen registered in dsh-captain.screen-registry.ts as captain.dsh.orders.map with status UNPROVEN; DshCaptainSurface renders: entry/inbox/detail/bell/orderchat/account/account-finance/account-profile/account-orders/account-docs/account-shifts/account-support/support-directory/support-screen — no map branch"
ML-026,app-captain/DshCaptainSurface.tsx,app-captain,YES (app-captain index),YES — DshCaptainSurface is itself the surface host,CG-019 not proven,WIRED_IN_FLOW,NO CHANGE: correctly classified as wired in V6,Availability toggle state skeleton present in DshCaptainSurface; CG-019 blocks the feature not the wiring
ML-029,app-captain/screens/DshCaptainPickupDropoffScreen.tsx,app-captain,YES (app-captain index + dsh-captain.screen-registry.ts status=UNPROVEN),NO — DshCaptainSurface has no pickup-dropoff render branch,none,REGISTERED_ROUTE_ONLY,FALSE CLAIM IN V6: gate claimed WIRED_NEEDS_VISUAL_REVIEW; DshCaptainSurface source read confirms no pickup-dropoff branch exists,"DshCaptainSurface renders entry/inbox/detail/bell/orderchat/account sub-routes/support-directory/support-screen — no pickup-dropoff; screen registered as dsh-captain-pickup-dropoff with status UNPROVEN"
ML-031,app-captain/screens/DshCaptainPoDSubmissionScreen.tsx,app-captain,YES (app-captain index + dsh-captain.screen-registry.ts status=UNPROVEN),NO — DshCaptainSurface has no PoD-submission render branch,CG-018,REGISTERED_ROUTE_ONLY,RECLASSIFIED: old matrix said WIRED_NEEDS_VISUAL_REVIEW; DshCaptainSurface source read confirms no PoD-submission branch exists,"Screen registered in dsh-captain.screen-registry.ts as UNPROVEN; DshCaptainSurface never renders it; same surface gap as ML-025 and ML-029"
ML-032,control-panel/support/OpsClientMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,ALIGNED: was EXPORTED_NOT_MOUNTED_BLOCKED_BY_CONTRACT; classification value updated to match V6.1 scheme,Workspace exported from support/index.ts; DshControlPanelSurfaceHost does not mount support screens
