flow_variant,step_order,actor,surface,operation_key,lifecycle_stage,purpose,enter_from,exit_to,notes
happy_path,1,customer,app-client,dsh_store_discovery,pre_order,start DSH order intent,entry,cart_checkout,customer begins in the only lawful entry surface
happy_path,2,customer,app-client,dsh_cart_checkout_gate,pre_submit,validate cart and checkout,discovery,order_submit,finance gating may occur without moving ownership out of DSH
happy_path,3,customer,app-client,dsh_order_submit,pending,create the order intent,checkout_gate,partner_handling,order becomes pending after submit
happy_path,4,partner,app-partner,dsh_partner_order_handling,pending,prepare and hand off store-side work,order_submit,captain_acceptance,partner path starts only after customer submit
happy_path,5,captain,app-captain,dsh_captain_offer_and_acceptance,accepted,accept the delivery job,partner_handling,delivery_execution,captain owns acceptance
happy_path,6,captain,app-captain,dsh_captain_delivery_execution,in_delivery,perform delivery execution,offer_and_acceptance,proof_or_completion,customer can observe but not own this step
happy_path,7,captain,app-captain,dsh_delivery_proof_and_verification,completion_gate,record or verify proof when required,delivery_execution,customer_tracking,proof remains tied to captain execution
happy_path,8,customer,app-client,dsh_customer_order_tracking,completed,observe terminal visible completion,proof_or_completion,exit,customer sees the completed state here
fast_path,1,customer,app-client,dsh_store_discovery,pre_order,re-enter known store or order intent,entry,checkout_gate,rediscovery overhead is reduced
fast_path,2,customer,app-client,dsh_cart_checkout_gate,pre_submit,pass directly through checkout,discovery,order_submit,minimal detours only
fast_path,3,customer,app-client,dsh_order_submit,pending,submit order quickly,checkout_gate,partner_handling,no exception branch here
fast_path,4,partner,app-partner,dsh_partner_order_handling,pending,handle order without escalation,order_submit,captain_acceptance,ops not needed in the fast path
fast_path,5,captain,app-captain,dsh_captain_offer_and_acceptance,accepted,accept job immediately,partner_handling,delivery_execution,clean staff handoff
fast_path,6,captain,app-captain,dsh_captain_delivery_execution,in_delivery,complete delivery work,offer_and_acceptance,customer_tracking,proof may be implicit or lightweight depending on policy
fast_path,7,customer,app-client,dsh_customer_order_tracking,completed,see completion quickly,delivery_execution,exit,fast path ends without exception intervention
returning_user_tracking,1,customer,app-client,dsh_customer_order_tracking,active_order,re-enter an existing active order,entry,exit_or_chat,returning user may skip order creation entirely
