gap_id,area,surface,actor,missing_point,gap_type,recommended_placement,why_needed,priority,blocked_by,status,risk_if_ignored,owner_service,finance_owner,counterpart_actor,notes
ML-001,field-onboarding,control-panel,partner-management,Partner Management activation approval — no approval surface in ControlPanelDshPartnerApprovalsScreen for field escalations,OPS_ACTION,SECTION within ControlPanelDshPartnerApprovalsScreen.tsx,Field submits DshFieldReadinessEscalationScreen escalation but قسم الشركاء (Partner Management) has no response surface — activation loop is open,P0,none,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — field cannot complete partner activation without Partner Management approval path,dsh,none,field,Cycle 1 correction: actor changed to partner-management / قسم الشركاء; Loop 4 skeleton approval section exists in ControlPanelDshPartnerApprovalsScreen
ML-002,field-onboarding,app-field,field,Document verification section within onboarding — no dedicated section file,SECTION,SECTION within DshFieldStoreOnboardingScreen.tsx,Multi-document capture step requires a structured section with state; currently no section file exists,P1,none,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,HIGH — without explicit section docs may not be captured reliably,dsh,none,ops,Loop 4 skeleton: DocumentVerificationSection.tsx within onboarding screen
ML-003,field-onboarding,app-field,field,Visit photo/evidence capture section — not confirmed in DshFieldStoreVisitScreen,SECTION,SECTION within DshFieldStoreVisitScreen.tsx,Evidence capture needs photo attachment and confirmation — must be explicit section with media state,P1,none,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,HIGH — visit evidence not capturable without this section,dsh,none,ops,V6 skeleton: VisitEvidenceSection.tsx created in app-field/sections/ and exported from sections/index.ts
ML-004,field-onboarding,app-field,field,Readiness escalation partner-management response dependency — field escalation screen exists but not wired in DshFieldSurface,STATE,STATE within DshFieldReadinessEscalationScreen.tsx (pending-response / approved / rejected),F-07 escalation screen exists with states but is not mounted in DshFieldSurface.tsx — field cannot reach the screen; Partner Management (قسم الشركاء) is the response owner not general ops,P1,ML-001 (partner-management approval needed),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,MEDIUM — field cannot track escalation outcome without Partner Management response surface,dsh,none,partner-management,Cycle 2 wire: DshFieldReadinessEscalationScreen mounted in DshFieldSurface.tsx; escalation CTA added to DshFieldStoreOnboardingScreen; states: pending-response / approved / rejected
ML-005,field-onboarding,app-field,field,Post-activation exit/success state — no confirmed completion state in onboarding screen,STATE,STATE within DshFieldStoreOnboardingScreen.tsx (activated / exit),Field completes all steps but there is no confirmed success/exit state — checklist does not visibly close,P1,none,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,MEDIUM — field does not know activation is complete,dsh,none,ops,Loop 4 skeleton: explicit success/exit state with activated badge
ML-006,client-order,app-client,client,Order created confirmation after WLT handoff — no screen or state exists post-payment,STATE,STATE within DshCheckoutIntentScreen.tsx (order-created-confirmation) OR new skeleton OrderConfirmationScreen,Client sees checkout intent then nothing — there is no confirmed order-created state shown after WLT returns payment result,P0,WLT handoff contract (CG-005),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — client does not know if order was placed after paying,dsh,none,wlt,Loop 4 skeleton: order-created state with order summary shown post WLT callback
ML-007,client-order,app-client,client,Client order cancellation flow — no screen sheet or flow exists,SHEET,SHEET from OrdersTrackingScreens.tsx (cancel-order-sheet),Client must be able to cancel before captain pickup; currently no cancellation path exists,P1,cancellation API contract (CG-009),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — client cannot cancel an order; ops must intervene manually,dsh,WLT if refund triggered,none,Loop 4 skeleton: CancelOrderSheet.tsx with reason selection and WLT bridge note for refund trigger
ML-008,client-order,app-client,client,Refund status WLT bridge — no WLT bridge state shown to client,WLT_BRIDGE,STATE within OrdersTrackingScreens.tsx (refund-in-progress / refunded) or new skeleton RefundStatusScreen,Client receives a refund from WLT but has no view of refund status in DSH,P0,WLT refund status API (CG-010),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — client has zero refund visibility; support load increases,dsh,WLT-owned,wlt,DSH shows WLT refund status read-only; Loop 4 skeleton: refund status STATE on tracking or orders screen
ML-009,client-order,app-client,client,Payment failure explicit error state with retry — payment-fail state exists as blocked state but lacks WLT failure message handling,STATE,STATE within DshCheckoutIntentScreen.tsx (payment-failed with WLT error message),Current blocked state does not surface WLT-specific failure reason to client; needs explicit payment-failed state,P0,WLT payment result (CG-004),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — client sees generic block without actionable retry or reason,dsh,WLT-owned,wlt,V4-4 implemented: explicit error state handler with paymentErrorMessage prop + StateView + retry CTA added to DshCheckoutIntentScreen.tsx; needs human visual review
ML-010,client-order,app-client,client,Quote unavailable explicit retry path — serviceability-fail state needs retry CTA,STATE,STATE within DshCheckoutIntentScreen.tsx (quote-unavailable + retry CTA),Blocked/quote-fail state exists but has no explicit retry or alternative zone path for client,P1,serviceability quote API (CG-004),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — client cannot retry or change zone after quote failure,dsh,none,none,V6: retry Button added to blocked state handler in DshCheckoutIntentScreen.tsx via onRetry prop
