path,roles_detected,owner_assessment,duplication_risk,recommended_action
control-panel/runtime/app/catalogs/page.tsx,monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
control-panel/runtime/app/finance/page.tsx,finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
control-panel/runtime/app/operations/page.tsx,operations,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
control-panel/runtime/app/support/page.tsx,support/escalation,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/DshControlPanelSurfaceHost.tsx,operations,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/administration/ControlPanelDshAdministrationScreen.tsx,approvals | platform/vars | policy | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/administration/administration.mock.ts,approvals | platform/vars | monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/administration/administration.types.ts,platform/vars | monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/administration/index.ts,platform/vars,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/catalogs/CatalogAdoptionQueue.tsx,approvals | policy | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/catalogs/CatalogGovernanceScreens.tsx,operations | support/escalation | approvals | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/catalogs/CatalogPublishingGateSection.tsx,approvals | policy | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/catalogs/ControlPanelDshCatalogCategoriesScreen.tsx,approvals | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/catalogs/ControlPanelDshCatalogScreen.tsx,operations | approvals | policy | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/catalogs/ItemApprovalSection.tsx,approvals | policy | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/catalogs/catalog.ts,approvals | policy | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/catalogs/index.ts,approvals | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/control/ControlHubScreens.tsx,operations | approvals | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/control/index.ts,,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/dashboard/ControlPanelDshClosureDashboardScreen.tsx,approvals | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/dashboard/index.ts,,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/finance/CaptainPayoutWorkspace.tsx,,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/finance/CommissionBreakdownWorkspace.tsx,approvals | platform/vars | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/finance/FieldCommissionWorkspace.tsx,finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/finance/FinanceHubScreen.tsx,approvals | platform/vars | monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/finance/FinanceHubScreens.tsx,operations | approvals | policy | monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/finance/PartnerSettlementWorkspace.tsx,monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/finance/PlatformFeeAuditWorkspace.tsx,platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/finance/RefundQueueWorkspace.tsx,monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/finance/finance.registry.ts,operations | approvals | monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/finance/finance.types.ts,monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/finance/index.ts,platform/vars | monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/fixture-locations.ts,approvals,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/index.ts,operations | support/escalation | approvals | platform/vars | monitoring | catalog/inventory | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/BannersCommandDeckScreen.tsx,operations | approvals | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/CampaignsCommandDeckScreen.tsx,operations | approvals | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/ControlPanelDshMarketingScreen.tsx,operations | approvals | platform/vars | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/GrowthCommandDeckScreen.tsx,operations | approvals | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/LoyaltyCommandDeckScreen.tsx,approvals,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/MarketingMediaReviewCommandDeckScreen.tsx,approvals | policy | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/MarketingReviewQueue.tsx,approvals | policy | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/MarketingReviewScreens.tsx,operations | approvals,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/PartnerOffersCommandDeckScreen.tsx,approvals | policy | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/PromosCommandDeckScreen.tsx,approvals | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/SmartSignalLayerScreen.tsx,operations | approvals | policy,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/VideosCommandDeckScreen.tsx,operations | approvals | policy,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/commercial-parity-preview.tsx,approvals | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
