severity,surface,path,issue_type,evidence,recommendation
HIGH,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx,UI/UX/design-system/RTL,hardcoded color hits=1; RTL/layout risk tokens=73; placeholder/preview/legacy/TBD tokens=20; large file lines=1617,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-captain,dsh/frontend/app-captain/contracts/dshCaptainBinding.contracts.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-captain,dsh/frontend/app-captain/data/fixture-locations.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=19,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=21,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=28,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-captain,dsh/frontend/app-captain/dsh-captain.types.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-captain,dsh/frontend/app-captain/index.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=2,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-captain,dsh/frontend/app-captain/screens/DshCaptainFinanceScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=6,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-captain,dsh/frontend/app-captain/screens/DshCaptainOperationsScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=18,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-captain,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=36; placeholder/preview/legacy/TBD tokens=5; large file lines=1447,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
