lifecycle_id,stage,actor,counterpart,point_type,description,ui_placement,existing_file_or_tbd,screen_or_not,reason,click_depth_impact,owner_service,finance_owner,status,risk_if_missing,notes
LC-FIELD-01,field-onboarding,field,,SCREEN,Field store assignment list — shows stores assigned for onboarding visits,TAB_ROOT screen on app-field,DshFieldStoresScreen.tsx,YES,Primary field entry — actor needs to see all assigned stores before navigating,0,dsh,none,COVERED,P0 — without this field cannot start onboarding,
LC-FIELD-02,field-onboarding,field,,STATE,Store selection state within stores list,STATE within DshFieldStoresScreen.tsx,DshFieldStoresScreen.tsx,NO,Selection is a state/tap action not a separate route,0,dsh,none,COVERED,LOW,CTA leads to LC-FIELD-03
LC-FIELD-03,field-onboarding,field,,SCREEN,Store onboarding checklist execution — field completes activation steps,FLOW_STEP screen on app-field,DshFieldStoreOnboardingScreen.tsx,YES,Multi-step checklist requires dedicated screen — cannot be a sheet; user completes real onboarding tasks,1,dsh,none,COVERED,P0 — core of field's purpose,
LC-FIELD-04,field-onboarding,field,,SECTION,Document verification step within onboarding,SECTION within DshFieldStoreOnboardingScreen.tsx,DshFieldStoreOnboardingScreen.tsx,NO,Document capture is a section within onboarding checklist — does not justify separate route,2,dsh,none,PARTIAL,HIGH — missing explicit section means docs may not be captured,Needs skeleton section in Loop 4
LC-FIELD-05,field-onboarding,field,,SCREEN,Store visit recording — evidence and photos captured during visit,FLOW_STEP screen on app-field,DshFieldStoreVisitScreen.tsx,YES,Visit with photo/evidence capture needs dedicated screen; cannot be sheet — requires media access and persistent state,2,dsh,none,COVERED,P0,
LC-FIELD-06,field-onboarding,field,operator,SCREEN,Readiness escalation — field flags partner not meeting activation criteria,FLOW_STEP screen on app-field,DshFieldReadinessEscalationScreen.tsx,YES,Escalation to ops requires dedicated screen — captures reason and evidence; cannot be sheet as it triggers ops workflow,3,dsh,none,COVERED,P2 READY_FOR_REVIEW,Ops-side activation approval (LC-FIELD-08) is MISSING
LC-FIELD-07,field-onboarding,field,,STATE,Post-activation exit state — store marked activated and field exits flow,STATE within DshFieldStoreOnboardingScreen.tsx,DshFieldStoreOnboardingScreen.tsx,NO,Completion is a success state on onboarding screen — not a new route,2,dsh,none,PARTIAL,HIGH — without clear exit state field cannot confirm activation,Needs explicit success/activated state confirmation
LC-FIELD-08,field-onboarding,field,operator,OPS_ACTION,Ops-side partner activation approval,OPS_ACTION in control-panel/partners/,TBD — no existing ops activation workspace,NO,Ops action within partner management — not a new screen; confirmation/approval panel within ControlPanelDshPartnerApprovalsScreen,3,dsh,none,MISSING,P0 — without this ops cannot approve field-submitted activations,Loop 4 skeleton target: approval action section in CP partners
LC-FIELD-09,field-account,field,,SCREEN,Field finance overview — WLT commission and payout summary,FLOW_STEP screen on app-field,DshFieldFinanceScreen.tsx,YES,WLT bridge screen — must be separate screen as it loads WLT context; cannot be section,2,wlt.dsh,WLT,COVERED,P1,WltDshFieldBridge.tsx is the WLT bridge component
LC-CLIENT-01,discovery,client,,SCREEN,DSH home feed — stores and categories listing,TAB_ROOT screen on app-client,HomeScreen.tsx,YES,Primary discovery entry — actor needs full browseable catalog; cannot be section,0,dsh,none,COVERED,P0 deepLink=/dsh,
LC-CLIENT-02,discovery,client,,SCREEN,Entry/service gate — checks zone and eligibility before showing home,SCREEN_ENTRY on app-client,EntryScreen.tsx,YES,Gate logic with blocked state — separate from home; cannot be state on home as gate may prevent home render,0,dsh,none,COVERED,P1,
LC-CLIENT-03,discovery,client,,SCREEN,Search — full-text store and item discovery,SCREEN_ENTRY on app-client,SearchScreen.tsx,YES,Full search UI with query/results — needs dedicated screen; cannot be section as it owns keyboard/focus behavior,1,dsh,none,COVERED,P1,
LC-CLIENT-04,storefront,client,,SCREEN,Store details — store info and menu preview,FLOW_STEP on app-client,StoreScreen.tsx,YES,Distinct storefront with store-level data context; cannot be section as it has its own scroll/nav,2,dsh,none,COVERED,P0,
LC-CLIENT-05,storefront,client,,SCREEN,Store items — items listing within selected store,FLOW_STEP on app-client,StoreItemsScreen.tsx,YES,Item browsing with full list — distinct from store overview; cannot be section as it has separate loading context,3,dsh,none,COVERED,P1,
LC-CLIENT-06,cart,client,,STATE,Add to cart — item selection action and cart update,STATE + CTA within StoreItemsScreen.tsx,StoreItemsScreen.tsx,NO,Add-to-cart is an action/CTA within items screen — does not justify separate route,3,dsh,none,COVERED,LOW,
LC-CLIENT-07,cart,client,,SCREEN,Cart review — pre-checkout cart contents and edit,FLOW_STEP on app-client,CartScreen.tsx,YES,Cart review with edit capability and WLT total preview — must be separate screen; cannot be sheet as user may spend significant time editing,4,dsh,WLT (total display),COVERED,P0,linkedServiceId=wlt
