operation_id,canonical_name,donor_aliases,owner,actors,surfaces,trigger,state_effect,classification,source_trace
dsh_store_discovery,Store Discovery,"dsh_home_get|dsh_categories_list|dsh_category_get|dsh_store_get|dsh_stores_list|dsh_store_items_list|dsh_store_products",dsh,"customer","app-client","customer enters DSH without an active order","reveals lawful store, category, and item entry context","entry_discovery","DSH_OPERATION_CATALOG.csv; DSH_UX_FLOW.md; auto_dsh_home_get.tsx; auto_dsh_category_get.tsx"
dsh_cart_checkout_gate,Cart And Checkout Gate,"dsh_cart_init|dsh_cart_get|dsh_cart_item_add|dsh_cart_item_update|dsh_cart_item_remove|dsh_checkout_gate|dsh_pricing_preview|dsh_service_modes_resolve",dsh,"customer","app-client","customer selects purchasable items and proceeds toward confirmation","moves cart state toward a validated checkout intent","checkout_gate","DSH_OPERATION_CATALOG.csv; DSH_UX_FLOW.md; auto_dsh_cart_get.tsx; auto_dsh_checkout_gate.tsx"
dsh_order_submit,Order Submission,"dsh_order_create|dsh_external_order_create|dsh_booking_create|dsh_estimate_create|dsh_estimate_get",dsh,"customer|partner","app-client|app-partner","customer confirms the order after checkout gating passes","creates an order that becomes visible for downstream partner handling","order_entry","DSH_OPERATION_CATALOG.csv; DSH_UX_FLOW.md; auto_dsh_order_create.tsx; dsh.controller.ts"
dsh_customer_order_tracking,Customer Order Tracking,"dsh_orders_list|dsh_order_get|dsh_order_status_get|dsh_order_status_update|dsh_delivery_track_get|dsh_delivery_eta_get|dsh_order_receipt_get",dsh,"customer|partner|captain|ops","app-client|app-partner|app-captain|control-panel","customer re-enters with an active or terminal order","reflects cross-surface lifecycle visibility back to the customer","tracking_visibility","DSH_OPERATION_CATALOG.csv; DSH_COVERAGE_MATRIX.csv; auto_dsh_orders_list.tsx; auto_dsh_delivery_track_get.tsx"
dsh_customer_order_chat,Customer Order Chat,"dsh_chat_send|dsh_chat_read_ack|dsh_partner_chat_send|dsh_partner_chat_read_ack|dsh_captain_chat_send|dsh_captain_chat_read_ack",dsh,"customer|partner|captain","app-client|app-partner|app-captain","an active order requires participant communication","updates chat state around the active order without moving ownership","communication","DSH_OPERATION_CATALOG.csv; DSH_COVERAGE_MATRIX.csv; DSH_RBAC_MATRIX.csv"
dsh_partner_order_handling,Partner Order Handling,"dsh_partner_orders_list|dsh_partner_order_get|dsh_partner_order_accept|dsh_partner_order_prepare|dsh_partner_order_ready|dsh_partner_order_handoff|dsh_partner_order_out_for_delivery|dsh_partner_order_store_delivered|dsh_partner_order_reject",dsh,"partner|ops","app-partner|control-panel","a submitted order reaches the store-side handling stage","moves the order through store-side preparation and handoff states","partner_fulfillment","DSH_OPERATION_CATALOG.csv; DSH_SERVICE_SCOPE.md; auto_dsh_partner_orders_list.tsx; auto_dsh_partner_order_handoff.tsx"
dsh_partner_store_maintenance,Partner Store Maintenance,"dsh_partner_store_get|dsh_partner_store_update|dsh_partner_store_service_modes_update|dsh_partner_store_status_update|dsh_partner_inventory_update|dsh_partner_inventory_adjust|dsh_partner_delivery_zones_update|dsh_zone_set",dsh,"partner|ops","app-partner|control-panel","partner workspace detects readiness, inventory, or zone issues","updates store readiness and routing preconditions for fulfillment","partner_configuration","DSH_OPERATION_CATALOG.csv; DSH_RBAC_MATRIX.csv; auto_dsh_partner_store_get.tsx; auto_dsh_partner_delivery_zones_update.tsx"
dsh_captain_offer_and_acceptance,Captain Offer And Acceptance,"dsh_captain_orders_offers_get|dsh_partner_order_handoff",dsh,"captain|ops","app-captain|control-panel","partner handoff or offer publication reaches a captain","moves a delivery from offer visibility into accepted ownership","captain_assignment","DSH_OPERATION_CATALOG.csv; auto_dsh_captain_orders_offers_list.tsx; dsh.controller.ts"
dsh_captain_delivery_execution,Captain Delivery Execution,"dsh_captain_order_get|dsh_captain_order_pickup|dsh_captain_order_deliver|dsh_delivery_attempt_create|dsh_delivery_reassign_request",dsh,"captain|customer|ops","app-captain|app-client|control-panel","a captain accepts a delivery and begins execution","progresses delivery toward completion while exposing lawful visibility elsewhere","captain_execution","DSH_OPERATION_CATALOG.csv; auto_dsh_captain_order_get.tsx; auto_dsh_captain_order_deliver.tsx; dsh.controller.ts"
dsh_delivery_proof_and_verification,Delivery Proof And Verification,"dsh_captain_proof_upload|dsh_order_proof_code_generate|dsh_order_proof_verify|dsh_order_complete|dsh_order_rate",dsh,"captain|customer|ops","app-captain|app-client|control-panel","execution reaches a proof-gated completion point","records, verifies, and exposes completion proof for lawful closeout","proof_gate","DSH_OPERATION_CATALOG.csv; auto_dsh_captain_proof_upload.tsx; auto_dsh_order_proof_verify.tsx"
dsh_field_activation_support,Field Activation Support,"dsh_field_store_activation_request|dsh_field_store_geo_pin|dsh_field_store_visit_log",dsh,"field|ops","app-field|control-panel","field participation is explicitly opened for activation or visit work","updates optional activation or support state without expanding default ownership","field_support","DSH_OPERATION_CATALOG.csv; auto_dsh_field_store_activation_request.tsx; auto_dsh_field_store_visit_log.tsx"
dsh_proxy_request_flow,Proxy Request Flow,"dsh_proxy_request_create|dsh_proxy_request_estimate|dsh_proxy_request_offer|dsh_proxy_request_approve|dsh_proxy_request_reject|dsh_proxy_request_schedule",dsh,"customer|ops","app-client|control-panel","customer enters the proxy exception branch","moves the proxy case across submission, review, and decision states","exception_proxy","DSH_OPERATION_CATALOG.csv; DSH_MCPW_SECTION_MAP.csv; shein-proxy.yaml; dsh.controller.ts"
dsh_ops_governance_controls,Operations Governance Controls,"dsh_operations_peak_mode_put|dsh_delivery_reassign_request|dsh_order_issue_flag|dsh_store_commission_set|dsh_store_fulfillment_profile_update|dsh_store_modes_set|dsh_store_zones_set",dsh,"ops|partner|captain|field","control-panel|app-partner|app-captain|app-field","internal operations intervene on DSH execution or policy conditions","applies governance-side state changes without taking over external actor ownership","internal_governance","DSH_OPERATION_CATALOG.csv; DSH_MCPW_SECTION_MAP.csv; McpwDshOperationsScreen.tsx; DshPeakModeScreen.tsx"
