operation_key,operation_label,operation_family,primary_actor,secondary_actor,primary_surfaces,primary_surface,secondary_surfaces,service_purpose,state_effect,surface_span,ownership_verdict,source_status,source_trace,notes
dsh_store_discovery,Store Discovery,discovery,customer,,app-client,app-client,,"reveal store and category entry points that start DSH order intent","reveals store/category context for order intent",single-surface,DSH,observed,"DSH_UX_FLOW; DSH_OPERATION_CATALOG","customer-first entry operation family"
dsh_cart_checkout_gate,Cart And Checkout Gate,checkout,customer,,app-client,app-client,,"validate cart contents and move the customer into lawful checkout progression","moves user from cart state to validated checkout state",single-surface,DSH,observed,"DSH_UX_FLOW; DSH_OPERATION_CATALOG; DSH_RBAC_MATRIX","DSH owns checkout gating, not wallet ledger truth"
dsh_order_submit,Order Submission,order,customer,partner,app-client,app-client,app-partner,"create a DSH order intent and hand it into downstream partner handling","creates a DSH order intent in pending state for downstream handling",cross-surface,DSH,observed,"DSH_UX_FLOW; DSH_OPERATION_CATALOG; DSH_COVERAGE_MATRIX","financial settlement is delegated to WLT when applicable"
dsh_customer_order_tracking,Customer Order Tracking,tracking,customer,"partner|captain|ops",app-client,app-client,"app-partner|app-captain|control-panel","reflect shared DSH order progress to the customer while other actors participate in the same lifecycle","reflects order lifecycle visibility to the customer",cross-surface,DSH,observed,"DSH_UX_FLOW; DSH_COVERAGE_MATRIX","tracking is visible across participating actors"
dsh_customer_order_chat,Customer Order Chat,communication,customer,"partner|captain",app-client,app-client,"app-partner|app-captain","exchange order-specific communication between customer and execution actors","updates communication state around an active DSH order",cross-surface,DSH,observed,"DSH_OPERATION_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","chat acknowledgement and send actions remain within DSH"
dsh_partner_order_handling,Partner Order Handling,fulfillment,partner,ops,app-partner,app-partner,control-panel,"progress partner-side order handling and store preparation toward handoff or store-delivered outcomes","moves partner-side order and store preparation state toward handoff or store-delivered outcomes",cross-surface,DSH,observed,"DSH_SERVICE_SCOPE; DSH_OPERATION_CATALOG; DSH_COVERAGE_MATRIX","includes partner-side order/store actions, not control-panel ownership"
dsh_partner_store_maintenance,Partner Store Maintenance,partner-configuration,partner,ops,app-partner,app-partner,control-panel,"maintain store readiness, inventory, hours, zones, and service modes for DSH participation","updates partner-side store readiness, inventory, hours, zones, and service modes",cross-surface,DSH,observed,"DSH_OPERATION_CATALOG; DSH_RBAC_MATRIX; DSH_CONTROL_PANEL_SECTION_MAP","configuration remains DSH-owned while visible internally through control-panel oversight"
dsh_captain_offer_and_acceptance,Captain Offer And Acceptance,captain-assignment,captain,ops,app-captain,app-captain,control-panel,"move a delivery job from available offer into accepted execution ownership","moves a delivery job from available offer to accepted execution state",cross-surface,DSH,observed,"DSH_UX_FLOW; DSH_OPERATION_CATALOG; DSH_COVERAGE_MATRIX","ops may oversee but captain is the primary execution actor"
dsh_captain_delivery_execution,Captain Delivery Execution,captain-execution,captain,customer,app-captain,app-captain,app-client,"execute active delivery work and advance the order toward visible completion","moves an accepted order from execution toward in_delivery and completion visibility",cross-surface,DSH,observed,"DSH_UX_FLOW; DSH_OPERATION_CATALOG; DSH_COVERAGE_MATRIX","customer sees status effects while captain performs the action"
dsh_delivery_proof_and_verification,Delivery Proof And Verification,proof,captain,"customer|ops",app-captain,app-captain,"app-client|control-panel","record or verify proof of delivery so completion confidence is lawful and reviewable","records or verifies proof of delivery and advances order completion confidence",cross-surface,DSH,observed,"DSH_OPERATION_CATALOG; DSH_COVERAGE_MATRIX","proof-related actions stay in DSH operational ownership"
dsh_field_activation_support,Field Activation Support,field-support,field,ops,app-field,app-field,control-panel,"support store activation and visit work when field participation is explicitly required","updates store activation and visit support state when field participation is required",cross-surface,DSH,observed,"DSH_OPERATION_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX","only relevant when field participation exists"
dsh_proxy_request_flow,Proxy Request Flow,proxy,customer,ops,"app-client|control-panel",app-client,control-panel,"create and progress proxy-request exceptions across customer and internal operations contexts","creates and progresses proxy-request exception flow across customer and internal ops contexts",cross-surface,DSH,observed,"DSH_OPERATION_CATALOG; DSH_COVERAGE_MATRIX; DSH_CONTROL_PANEL_SECTION_MAP","kept because donor evidence shows a distinct sheinproxy/internal route cluster"
dsh_ops_governance_controls,Operations Governance Controls,internal-ops,ops,"partner|captain|field",control-panel,control-panel,"app-partner|app-captain|app-field","govern DSH operational controls, exceptions, and peak-mode style interventions from the internal oversight surface","adjusts or oversees DSH operational control state such as peak mode and exception handling",cross-surface,DSH,observed,"DSH_OPERATION_CATALOG; DSH_CONTROL_PANEL_SECTION_MAP","control-panel remains the sole internal entry surface"
