entity_id,entity_type,canonical_name,disposition,reason,future_repo_layer,future_repo_path,future_owner,target_phase,target_wave,proof_class,closure_condition
dsh_actor_customer,actor,customer,RETAIN,"core first-service actor",docs_services,docs/services/dsh/06_SURFACE_CLASSIFICATION.md,dsh,08,W01,document_readiness,"actor remains explicitly classified and non-contradictory"
dsh_actor_partner,actor,partner,RETAIN,"core downstream fulfillment actor",docs_services,docs/services/dsh/06_SURFACE_CLASSIFICATION.md,dsh,08,W02,document_readiness,"actor remains explicitly classified and non-contradictory"
dsh_actor_captain,actor,captain,RETAIN,"core execution actor",docs_services,docs/services/dsh/06_SURFACE_CLASSIFICATION.md,dsh,08,W03,document_readiness,"actor remains explicitly classified and non-contradictory"
dsh_actor_field,actor,field,RETAIN_OPTIONAL,"supported by donor evidence but optional in clean model",docs_services,docs/services/dsh/06_SURFACE_CLASSIFICATION.md,dsh,08,W05,document_readiness,"optional branch stays explicit and does not widen by drift"
dsh_actor_ops,actor,ops,RETAIN,"internal oversight actor",docs_services,docs/services/dsh/06_SURFACE_CLASSIFICATION.md,dsh,08,W04,document_readiness,"control-panel remains oversight-only"
dsh_actor_webapp_public,actor,webapp_public,EXCLUDE,"no approved first-service evidence",governance,governance/SURFACE_CATALOG.md,_shared,08,W00,document_readiness,"surface remains out until explicit future approval"
dsh_actor_website_public,actor,website_public,EXCLUDE,"no approved first-service evidence",governance,governance/SURFACE_CATALOG.md,_shared,08,W00,document_readiness,"surface remains out until explicit future approval"
dsh_store_discovery,operation_family,Store Discovery,REBUILD_CLEAN,"donor files are noisy but intent is clear",packages_surfaces,packages/surfaces/src/dsh/app-client/dsh_client_entry_discovery_home,dsh,09,W01,fixtures_only,"first client discovery bundle exists with clean target naming"
dsh_cart_checkout_gate,operation_family,Cart And Checkout Gate,REBUILD_CLEAN,"needs clean state model and WLT-safe boundary",packages_surfaces,packages/surfaces/src/dsh/app-client/dsh_client_checkout_confirm,dsh,09,W01,fixtures_only,"cart and checkout screens have explicit state coverage"
dsh_order_submit,operation_family,Order Submission,REBUILD_CLEAN,"contract and service method should be rebuilt from clean pressure",services,services/dsh/src/application/orders,dsh,18,W08,bind_ready,"service method and binding chain are explicit"
dsh_customer_order_tracking,operation_family,Customer Order Tracking,REBUILD_CLEAN,"donor tracking sprawl must compress into one clean screen",packages_surfaces,packages/surfaces/src/dsh/app-client/dsh_client_active_order_tracking,dsh,12,W02,fixtures_only,"tracking screen exists with lifecycle states and no ownership drift"
dsh_customer_order_chat,operation_family,Customer Order Chat,EXTRACT_PARTIAL,"chat semantics are reusable but donor endpoint sprawl is noisy",packages_surfaces,packages/surfaces/src/dsh/_shared/chat_companions,dsh,13,W02,design_ready,"chat remains subordinate to owning screens"
