old_path,new_path,action,reason,owner_surface,import_updates_required,status,rollback_note
dsh/frontend/app-client/sheets/index.ts,dsh/frontend/app-client/sheets/index.ts,CREATED,Canonical taxonomy requires sheets/index.ts as surface export point for all sheets; ML-007 CancelOrderSheet now accessible,app-client,NO,DONE_V4,Delete file to rollback (new file — no pre-existing version)
dsh/frontend/app-captain/sheets/index.ts,dsh/frontend/app-captain/sheets/index.ts,CREATED,Canonical taxonomy requires sheets/index.ts; ML-024 OfferDeclineSheet now accessible,app-captain,NO,DONE_V4,Delete file to rollback
dsh/frontend/app-partner/sheets/index.ts,dsh/frontend/app-partner/sheets/index.ts,CREATED,Canonical taxonomy requires sheets/index.ts; ML-016 AcceptanceTimerSheet now accessible,app-partner,NO,DONE_V4,Delete file to rollback
dsh/frontend/app-client/parts/LoyaltyRewardsScreen.tsx,dsh/frontend/app-client/sections/LoyaltyRewardsSection.tsx,CLASSIFY_ONLY_MOVE_DEFERRED,ML-012: should be section within BenefitsScreen not standalone parts/ file; rename + move requires import audit,app-client,YES,DEFERRED_TO_LOOP_5,Revert move if import audit fails; currently stays in parts/
dsh/frontend/app-client/parts/SubscriptionsScreen.tsx,dsh/frontend/app-client/sections/SubscriptionsSection.tsx,CLASSIFY_ONLY_MOVE_DEFERRED,ML-013: should be section within MySpaceScreen not standalone parts/ file,app-client,YES,DEFERRED_TO_LOOP_5,Revert move if import audit fails
dsh/frontend/app-client/parts/ApprovedVideoReelsViewer.tsx,dsh/frontend/app-client/sections/VideoReelsSection.tsx,CLASSIFY_ONLY_MOVE_DEFERRED,ML-014: should be section within HomeScreen; reels viewer in parts/ not canonical,app-client,YES,DEFERRED_TO_LOOP_5,Revert move if import audit fails
dsh/frontend/app-client/parts/OperationScreen.tsx,dsh/frontend/app-client/sections/OperationSection.tsx,CLASSIFY_ONLY_MOVE_DEFERRED,DUP-004: name clash with captain parts/OperationScreen.ts; should be section not parts/,app-client,YES,DEFERRED_TO_LOOP_5,Revert if import chain breaks
dsh/frontend/app-captain/parts/OperationScreen.ts,dsh/frontend/app-captain/shared/operation-screen-stub.ts,CLASSIFY_ONLY_MOVE_DEFERRED,DUP-003: .ts extension for UI component is suspect; verify is stub or re-export before moving,app-captain,YES,DEFERRED_TO_LOOP_5,Content verification required before move
dsh/frontend/app-client/parts,dsh/frontend/app-client/sections,TAXONOMY_RENAME_DEFERRED,parts/ is not in canonical taxonomy; content belongs in sections/ or screens/ depending on file; full import audit required,app-client,YES,DEFERRED_TO_LOOP_5,Rename requires grep-confirmed import update across the workspace
dsh/frontend/app-partner/parts,dsh/frontend/app-partner/sections,TAXONOMY_RENAME_DEFERRED,parts/ is not canonical; audit required,app-partner,YES,DEFERRED_TO_LOOP_5,Rename deferred until import audit confirms no external consumers
dsh/frontend/app-captain/parts,dsh/frontend/app-captain/sections,TAXONOMY_RENAME_DEFERRED,parts/ is not canonical; DUP-003 OperationScreen.ts must be resolved first,app-captain,YES,DEFERRED_TO_LOOP_5,Deferred — OperationScreen.ts content verification blocks this move
dsh/frontend/app-field/types,dsh/frontend/app-field/app-field.types.ts,CLASSIFY_ONLY_MOVE_DEFERRED,types/ directory is not canonical; should be flat <surface>.types.ts file,app-field,YES,DEFERRED_TO_LOOP_5,Only move if types/ has a single types file; verify before action
dsh/frontend/control-panel/control,dsh/frontend/control-panel/control,NO_ACTION,control/ is not in canonical taxonomy but hosts governance/guard/hub screens; classify as DSH-local control section — no rename needed until governance model confirmed,control-panel,NO,CLASSIFIED_NO_MOVE,V4 decision: keep as-is; document as extended taxonomy for control-panel
dsh/frontend/control-panel/dashboard,dsh/frontend/control-panel/dashboard,NO_ACTION,dashboard/ is not canonical but hosts closure-dashboard screen; keep as-is; low-noise,control-panel,NO,CLASSIFIED_NO_MOVE,V4 decision: keep as-is
