script,command,type
build:surfaces,"pnpm nx run-many --target=build --projects=control-panel,webapp,website,app-client,app-partner,app-captain,app-field --parallel=7",verification
build:mobile-control-panel,"pnpm nx run-many --target=build --projects=control-panel,app-client,app-partner,app-captain,app-field --parallel=5",verification
guard:i18n-direction,node tools/scripts/guard-central-i18n-direction.mjs,guard
guard:i18n-direction:mobile-control-panel,node tools/scripts/guard-central-i18n-direction.mjs app-client app-partner app-captain app-field control-panel webapp website,guard
guard:service-blueprint,node tools/guards/guard-service-contract-matrix.mjs,guard
guard:test-coverage,"pwsh -NoProfile -Command ""Write-Host 'NOT_RUN_REASON: no dedicated guard:test-coverage script is defined in this workspace.'""",guard
guard:binding-proof,node tools/guards/guard-api-binding-runtime.mjs,guard
guard:patch-review,"pwsh -NoProfile -Command ""Write-Host 'NOT_RUN_REASON: no dedicated guard:patch-review script is defined; use the patch review workflow or governance review when explicitly requested.'""",guard
guard:visual,"pwsh -NoProfile -Command ""Write-Host 'NOT_RUN_REASON: no dedicated guard:visual script is defined; capture screenshots and visual notes instead.'""",guard
guard:rtl-visual,"pwsh -NoProfile -Command ""Write-Host 'NOT_RUN_REASON: no dedicated guard:rtl-visual script is defined; capture RTL screenshots and notes instead.'""",guard
guard:secret-scan,node tools/guards/guard-secret-scan.mjs,guard
guard:runtime-smoke,"pwsh -NoProfile -Command ""Write-Host 'NOT_RUN_REASON: no dedicated guard:runtime-smoke script is defined; run a project-specific smoke only on explicit request.'""",guard
precommit:fast,git --no-pager diff --cached --check,verification
guard:protected-tokens,node tools/guards/guard-design-token-drift.mjs,guard
guard:tamagui-law,"pwsh -NoProfile -Command ""Write-Host 'NOT_RUN_REASON: no dedicated guard:tamagui-law script is defined; use pnpm run guard:tamagui-import-boundary for the active Tamagui boundary check.'""",guard
guard:tamagui-import-boundary,node tools/guards/guard-ui-architecture-boundary.mjs,guard
lint,"pwsh -NoProfile -Command ""Write-Host 'NOT_RUN_REASON: workspace lint is opt-in only; use pnpm run lint:workspace on explicit PR or release request.'""",verification
lint:workspace,eslint . --max-warnings 0,verification
guard:governance,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/guards/RUN_GOVERNANCE_GUARDS.ps1 -Mode Local -Profile Governance,guard
guard:agent,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/guards/RUN_GOVERNANCE_GUARDS.ps1 -Mode Local -Profile Agent,guard
MANIFEST:GUARD_GOVERNANCE_BOUNDARIES,tools/guards/guard-governance-boundaries.mjs,blocking - validate tools/guards file/config/manifest alignment and block legacy refs inside active guard sources
MANIFEST:GUARD_AGENT_GLOBAL_AUTHORITY,tools/guards/guard-agent-global-authority.mjs,"blocking - validate .agents authority roots, required files, legacy-agent-root retirement, and adapter hygiene"
MANIFEST:GUARD_UI_ARCHITECTURE_BOUNDARY,tools/guards/guard-ui-architecture-boundary.mjs,blocking - block direct Tamagui imports outside ui-kit and block deep ui-kit source imports
MANIFEST:GUARD_DESIGN_TOKEN_DRIFT,tools/guards/guard-design-token-drift.mjs,advisory - report hardcoded non-brand hex colors outside ui-kit
MANIFEST:GUARD_SERVICE_CONTRACT_MATRIX,tools/guards/guard-service-contract-matrix.mjs,advisory - verify canonical service roots carry SERVICE_BLUEPRINT.md and service OpenAPI files
MANIFEST:GUARD_API_BINDING_RUNTIME,tools/guards/guard-api-binding-runtime.mjs,advisory - report data-bound screens that appear to miss explicit state coverage or contract hints
MANIFEST:GUARD_EVIDENCE_REGISTRY_RUNS_HYGIENE,tools/guards/guard-evidence-registry-runs-hygiene.mjs,advisory - report evidence runs missing required files or using legacy zip naming
MANIFEST:GUARD_WORKFLOW_CI_PARITY,tools/guards/guard-workflow-ci-parity.mjs,blocking - verify governance workflows still invoke the active guard runners
MANIFEST:GUARD_SECRET_SCAN,tools/guards/guard-secret-scan.mjs,blocking - scan tracked text files for obvious secret patterns
MANIFEST:GUARD_BTHWANI_AGENT_PACKAGE,tools/guards/guard-bthwani-agent-package.mjs,"blocking - validate BThwani-owned active agent package files, adapter hygiene, required skills, and unsafe active mirror roots"
MANIFEST:GUARD_STEWARD_V3,tools/guards/guard-steward-v3.mjs,advisory - validate additive V3 guard system health without replacing existing guards
MANIFEST:GUARD_PHASE_SCOPE_V3,tools/guards/guard-phase-scope-v3.mjs,"phase-aware - phase-aware scope guard for UI/UX, API, runtime, and production stages"
MANIFEST:GUARD_UIUX_RATCHET_V3,tools/guards/guard-uiux-ratchet-v3.mjs,"audit - UI/UX ratchet guard for central colors, RTL, ui-kit ownership, local design drift, and touched-scope discipline"
MANIFEST:GUARD_DSH_PLATFORM_VARS_V3,tools/guards/guard-dsh-platform-vars-v3.mjs,"audit - DSH Platform/Vars control guard for mutable operational policy, provider control, and UI-only phase discipline"
MANIFEST:GUARD_RELEASE_READINESS_V3,tools/guards/guard-release-readiness-v3.mjs,"advisory - release readiness evidence, diff, warning, rollback, and guard-result aggregation"
