path,surface,current_folder,file_role,owner,imported_by,exported_by,registered_by,mounted_by,route_reference,used_status,dead_risk,noise_risk,recommended_action,action_taken,reason,notes
README.md,root,—,DOC_HELPER,dsh,—,—,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Root frontend README,Documentation only
index.ts,root,—,INDEX,dsh,external consumers,—,—,—,—,EXPORTED_ONLY,LOW,LOW,KEEP,VERIFIED,Root re-export barrel,Aggregates all surface indexes
app-captain/DshCaptainSurface.tsx,app-captain,—,SURFACE,app-captain,app-captain/mobile-shell,app-captain/index.ts,—,app-captain/mobile-shell,—,MOUNTED_HOST,LOW,MEDIUM,KEEP,VERIFIED,Surface host for captain app; god-file with 7+ screen routes; split plan in DSH_V6_GOD_FILE_SPLIT_DECISIONS.md,God-file blocker documented; owner decision required before split
app-captain/contracts/dshCaptainBinding.contracts.ts,app-captain,contracts,BRIDGE,dsh,DshCaptainSurface.tsx,app-captain/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Captain binding contracts,
app-captain/data/captain-finance.preview-data.ts,app-captain,data,FIXTURE_PREVIEW_DATA,dsh,DshCaptainFinanceScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Captain finance preview data,
app-captain/data/captain-orders.preview-data.ts,app-captain,data,FIXTURE_PREVIEW_DATA,dsh,DshCaptainOrdersScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Captain orders preview data; modified in V6 (offer-accepting/offer-accepted states),
app-captain/data/captain-profile.preview-data.ts,app-captain,data,FIXTURE_PREVIEW_DATA,dsh,DshCaptainProfileScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Captain profile preview data,
app-captain/data/captain-state.preview-data.ts,app-captain,data,FIXTURE_PREVIEW_DATA,dsh,DshCaptainSurface.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Captain surface state preview data,
app-captain/data/fixture-locations.ts,app-captain,data,FIXTURE_PREVIEW_DATA,dsh,DshCaptainMapScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,MEDIUM,KEEP,VERIFIED,Fixture location data for map preview,
app-captain/dsh-captain.routes.ts,app-captain,—,ROUTES,dsh,dsh-captain.screen-registry.ts,app-captain/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Route ID type definitions,
app-captain/dsh-captain.screen-registry.ts,app-captain,—,REGISTRY,dsh,DshCaptainSurface.tsx,app-captain/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Captain screen registry; MapScreen/PickupDropoff/PoD registered UNPROVEN,ML-025 registered but DshCaptainSurface does not render DshCaptainMapScreen
app-captain/dsh-captain.types.ts,app-captain,—,TYPES,dsh,DshCaptainSurface.tsx,app-captain/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Captain type definitions,
app-captain/index.ts,app-captain,—,INDEX,app-captain,external consumers,—,—,—,—,EXPORTED_ONLY,LOW,LOW,KEEP,VERIFIED,Captain module barrel export,
app-captain/parts/OperationScreen.ts,app-captain,parts,SHARED,dsh,"DshCaptainMapScreen.tsx,DshCaptainPickupDropoffScreen.tsx",—,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Shared operation screen shell used by map and pickup/dropoff screens,
app-captain/screens/DshCaptainEntryScreen.tsx,app-captain,screens,SCREEN,dsh,DshCaptainSurface.tsx,app-captain/index.ts,dsh-captain.screen-registry.ts,DshCaptainSurface.tsx,dsh-captain-entry,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Captain entry screen; wired in DshCaptainSurface,
app-captain/screens/DshCaptainFinanceScreen.tsx,app-captain,screens,SCREEN,wlt.dsh,DshCaptainSurface.tsx,app-captain/index.ts,dsh-captain.screen-registry.ts,DshCaptainSurface.tsx,dsh-captain-account-finance,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Captain finance screen; WLT bridge wired in DshCaptainSurface,
app-captain/screens/DshCaptainMapScreen.tsx,app-captain,screens,SCREEN,dsh,—,app-captain/index.ts,dsh-captain.screen-registry.ts,—,dsh-captain-map,REGISTERED_ROUTE,MEDIUM,LOW,OWNER_DECISION,REGISTERED_ONLY,Registered in registry as captain.dsh.orders.map (UNPROVEN) but NOT imported or rendered by DshCaptainSurface,ML-025: wiring claim was false — exported from index and registered but DshCaptainSurface has no render branch for this screen
app-captain/screens/DshCaptainOperationsScreen.tsx,app-captain,screens,SCREEN,dsh,DshCaptainSurface.tsx,app-captain/index.ts,dsh-captain.screen-registry.ts,DshCaptainSurface.tsx,dsh-captain-support-directory,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Captain operations screen; wired in DshCaptainSurface supportScreens,
app-captain/screens/DshCaptainOrdersScreen.tsx,app-captain,screens,SCREEN,dsh,DshCaptainSurface.tsx,app-captain/index.ts,dsh-captain.screen-registry.ts,DshCaptainSurface.tsx,dsh-captain-inbox,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Captain orders screen; wired in DshCaptainSurface; modified in V6,
app-captain/screens/DshCaptainPickupDropoffScreen.tsx,app-captain,screens,SCREEN,dsh,—,app-captain/index.ts,dsh-captain.screen-registry.ts,—,dsh-captain-pickup-dropoff,REGISTERED_ROUTE,MEDIUM,LOW,OWNER_DECISION,REGISTERED_ONLY,Registered in registry (UNPROVEN) but NOT imported or rendered by DshCaptainSurface,ML-029: was claimed WIRED_NEEDS_VISUAL_REVIEW but DshCaptainSurface has no pickup-dropoff render branch
app-captain/screens/DshCaptainPoDSubmissionScreen.tsx,app-captain,screens,SCREEN,dsh,—,app-captain/index.ts,dsh-captain.screen-registry.ts,—,dsh-captain-pod-submission,REGISTERED_ROUTE,MEDIUM,LOW,OWNER_DECISION,REGISTERED_ONLY,Registered in registry (UNPROVEN) but NOT imported or rendered by DshCaptainSurface,ML-031: registered but not rendered — surface has no PoD render branch
app-captain/screens/DshCaptainProfileScreen.tsx,app-captain,screens,SCREEN,dsh,DshCaptainSurface.tsx,app-captain/index.ts,dsh-captain.screen-registry.ts,DshCaptainSurface.tsx,dsh-captain-account-profile,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Captain profile screen; wired via DshCaptainSurface supportScreens,
app-captain/sheets/OfferDeclineSheet.tsx,app-captain,sheets,SHEET,dsh,—,app-captain/sheets/index.ts,—,—,—,EXPORTED_ONLY,LOW,LOW,WIRE_TO_PARENT,EXPORTED_ONLY,ML-024: exported from sheets/index.ts; NOT mounted in DshCaptainOrdersScreen; BLOCKED_BY_CONTRACT CG-015,
app-captain/sheets/index.ts,app-captain,sheets,INDEX,dsh,—,—,—,—,—,EXPORTED_ONLY,LOW,LOW,KEEP,VERIFIED,Sheets barrel export for captain sheets,
app-client/DshClientSurface.tsx,app-client,—,SURFACE,app-client,app-client/mobile-shell,app-client/index.ts,—,app-client/mobile-shell,—,MOUNTED_HOST,LOW,MEDIUM,KEEP,VERIFIED,Surface host for client app,God-file with many screen routes
app-client/contracts/dsh-client-binding.contracts.ts,app-client,contracts,BRIDGE,dsh,DshClientSurface.tsx,app-client/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Client binding contracts,
app-client/data/categories.preview-data.ts,app-client,data,FIXTURE_PREVIEW_DATA,dsh,HomeScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Categories preview data,
app-client/data/client-state.preview-data.ts,app-client,data,FIXTURE_PREVIEW_DATA,dsh,DshClientSurface.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Client state preview data,
app-client/data/discovery.preview-data.ts,app-client,data,FIXTURE_PREVIEW_DATA,dsh,HomeScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Discovery preview data,
app-client/data/home.preview-data.ts,app-client,data,FIXTURE_PREVIEW_DATA,dsh,HomeScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Home preview data,
app-client/data/items.preview-data.ts,app-client,data,FIXTURE_PREVIEW_DATA,dsh,StoreItemsScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Store items preview data,
app-client/data/loyalty-commercial.preview-data.ts,app-client,data,FIXTURE_PREVIEW_DATA,dsh,LoyaltyRewardsScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Loyalty commercial preview data,
app-client/data/notifications.preview-data.ts,app-client,data,FIXTURE_PREVIEW_DATA,dsh,NotificationsScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Notifications preview data,
app-client/data/store.preview-data.ts,app-client,data,FIXTURE_PREVIEW_DATA,dsh,StoreScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Store preview data,
app-client/data/subscriptions-commercial.preview-data.ts,app-client,data,FIXTURE_PREVIEW_DATA,dsh,SubscriptionsScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Subscriptions commercial preview data,
