case_id,category,actor,counterpart,trigger,expected_handling,ui_placement,wlt_relation,ops_relation,audit_needed,status,risk_if_missing,notes
EX-01,order-exception,client,partner,Partner rejects order after client checkout,Show client-visible rejection state; expose reason if shareable; trigger WLT reversal if payment captured; open support exception for ops,STATE within OrdersTrackingScreens (order-rejected state) + NOTIFICATION + OPS_ACTION in ExceptionsEscalationsScreen,WLT reversal if payment was captured — WLT-owned,OPS_ACTION — ops must see rejection and determine re-route or exception case,YES,PARTIAL,P0 — without rejection state client is stranded,"Client-side rejection state must be explicitly covered in Loop 4; WLT reversal is WLT-owned; ops exception entry needed"
EX-02,order-exception,client,partner,Partner delays order beyond SLA threshold,Show client-visible delay state; send delay notification; trigger ops SLA alert; optional ETA update,NOTIFICATION to client + STATE in tracking + OPS_ACTION in CommandCenterScreen or ExceptionsEscalationsScreen,none — delay is not financial,OPS_ACTION — ops monitors SLA and intervenes,YES,PARTIAL,P1 — without delay state and ops SLA signal delivery quality degrades silently,"Client-side delay state needed; ops SLA signal feeds AuditSupportSlaScreen"
EX-03,order-exception,client,captain,Captain becomes unavailable after accepting assignment,Block delivery progression; trigger automatic or manual reassignment; notify client of expected delay,OPS_ACTION in DispatchAssignmentScreen (reassign) + NOTIFICATION to client + STATE in client tracking,none,OPS_ACTION — manual or auto reassignment required; ops monitors in LiveOrdersScreen,YES,PARTIAL,P0 — without reassignment handling order is stalled indefinitely,"Reassignment trigger in ExceptionsEscalationsScreen is PARTIAL; needs explicit OPS_ACTION in Loop 4"
EX-04,order-exception,captain,client,Pickup failed — captain cannot collect order from partner,Stop out-for-delivery transition; surface pickup-failure state to client and ops; allow captain to raise issue,STATE in DshCaptainPickupDropoffScreen (pickup-failed) + OPS_ACTION in ExceptionsEscalationsScreen + NOTIFICATION to client,none — possible financial review later if WLT needed,OPS_ACTION — ops intervenes on pickup failure,YES,MISSING,P0 — without pickup-failure state captain cannot signal failure,"Loop 4 skeleton: pickup-failed STATE in pickup-dropoff screen; ops exception entry"
EX-05,order-exception,captain,client,Delivery failed — customer absent or unreachable at dropoff,Prevent delivered-state closure; surface failed-delivery state; create support exception; allow reattempt or cancellation path,STATE in DshCaptainPickupDropoffScreen (delivery-failed) + OPS_ACTION in ExceptionsEscalationsScreen + NOTIFICATION to client,WLT review if financial adjustment needed,OPS_ACTION — ops decides reattempt or exception closure,YES,MISSING,P0 — without delivery-failure handling order falsely remains open,"Loop 4 skeleton: delivery-failed STATE; reattempt or cancel path"
EX-06,order-exception,client,,Customer complaint after delivery (quality/missing item/wrong order),Open support exception case; route to ops support queue; allow refund candidate classification,SCREEN SP-01 (support ticket) + WORKSPACE SP-02 (ticket detail) — both MISSING,WLT if refund is classified — WLT-owned,OPS_ACTION — ops opens support case and decides refund candidacy,YES,MISSING,P0 — entire CP support section is missing; complaints have no ops surface,"CP support section must be built in Loop 4 — highest priority missing area"
EX-07,order-exception,client,,Order cancellation — client cancels before captain pickup,Allow client cancellation; notify partner and captain; determine WLT reversal eligibility; close order,TBD — client cancellation flow is MISSING (LC-CLIENT-20) + NOTIFICATION + WLT_BRIDGE,WLT reversal if payment was captured — WLT-owned,OPS_ACTION — ops may need to cancel assignment if captain already dispatched,YES,MISSING,P1 — client cannot cancel without this,"Loop 4 skeleton: cancellation flow step/sheet; WLT bridge for reversal status"
EX-08,order-exception,partner,client,Partner cancels or fails to fulfil after accepting (store closed / inventory issue),Surface cancellation to client; notify captain if assigned; trigger WLT reversal; open exception for ops,STATE in client tracking (cancelled state) + OPS_ACTION in ExceptionsEscalationsScreen + WLT_BRIDGE,WLT reversal if payment captured — WLT-owned,OPS_ACTION — ops handles exception and may re-route,YES,MISSING,P1 — no partner-side cancellation flow with client notification,
EX-09,order-exception,captain,partner,Captain arrives but partner not ready (pickup blocked),Block pickup confirmation; surface blocked state; allow captain to signal issue to ops; allow ops to intervene,STATE in DshCaptainPickupDropoffScreen (pickup-blocked) + OPS_ACTION,none,OPS_ACTION — ops contacts partner or reassigns,YES,MISSING,P1 — captain is stuck at pickup with no signal path,Loop 4 skeleton: pickup-blocked STATE
EX-10,order-exception,captain,,Captain GPS unavailable during delivery,Degrade route confidence; surface GPS-lost state to captain; notify ops of tracking degradation,STATE in DshCaptainMapScreen or DshCaptainPickupDropoffScreen + OPS_ACTION (degraded tracking signal),none,OPS_ACTION — ops monitors degraded ETA,YES,MISSING,P1 — without GPS-fail state captain and ops cannot handle gracefully,Depends on DshCaptainMapScreen registration (GAP-001)
EX-11,order-exception,captain,,Proof of delivery missing or rejected,Block delivered-state; require PoD resubmission or manual ops review,STATE in DshCaptainPoDSubmissionScreen (rejected/retry) + OPS_ACTION in ExceptionsEscalationsScreen + AUDIT_RECORD,none — possible financial review if dispute arises,OPS_ACTION — ops decides accept/reject PoD manually,YES,PARTIAL,P0 — PoD rejection state must be explicit,"DshCaptainPoDSubmissionScreen is READY_FOR_REVIEW; rejection STATE needs explicit design"
EX-12,support-exception,client,,Client opens issue during active tracking,Open issue workspace; assign to ops support; keep order open,SCREEN OperationScreens.tsx (order-issue-workspace) on app-client + MISSING ops-side (SP-02),WLT if financial complaint leads to refund,OPS_ACTION — ops support receives and handles,YES,PARTIAL,P1 — client-side exists; ops-side missing,Ops-side is SP-02 MISSING
EX-13,support-exception,partner,operator,Partner raises issue during order preparation (missing item / inventory),Surface issue to ops; allow partner to flag and attach detail; may pause order,SECTION PartnerOrderIssuePanel.tsx + OPS_ACTION in ExceptionsEscalationsScreen,none normally,OPS_ACTION — ops decides resolution path,YES,COVERED (partially),P1,Partner issue panel exists; ops-side exception coverage is partial
EX-14,support-exception,captain,operator,Captain raises issue during delivery (road block / hazard / customer issue),Surface issue to ops via support workspace; allow captain to escalate,SCREEN DshCaptainSurface.tsx (support-screen) + OPS_ACTION in ExceptionsEscalationsScreen,none,OPS_ACTION — ops intervenes,YES,PARTIAL,P1,Captain support workspace exists in god-file; needs split in Loop 4
EX-15,support-exception,field,operator,Field agent escalates partner readiness issue,Surface escalation to ops partner management; allow ops to approve or hold partner activation,SCREEN DshFieldReadinessEscalationScreen.tsx + OPS_ACTION in ControlPanelDshPartnerApprovalsScreen,none,OPS_ACTION — ops approves or holds,YES,COVERED (partially),P2 READY_FOR_REVIEW,Field escalation screen READY_FOR_REVIEW; ops activation approval is MISSING (LC-FIELD-08)
EX-16,auto-reassignment,operator,captain,SLA breach or captain dropout triggers auto-reassignment,System triggers auto-reassign; ops monitors in real time; captain receives new assignment offer,OPS_ACTION in DispatchAssignmentScreen (auto) + NOTIFICATION to captain + STATE in client tracking (reassigning),none,OPS_ACTION — auto-assign or manual confirmation,YES,PARTIAL,P0 — auto-reassignment must be visible and configurable,"DispatchAssignmentScreen covers manual; auto-config is PARTIAL; needs explicit auto-reassign state"
EX-17,wlt-settlement,partner,WLT,Order delivered — partner settlement due,WLT calculates and executes partner settlement; DSH shows settlement status read-only,WLT_BRIDGE — MISSING in CP finance (LC-FIN-02) + READ-ONLY STATE in FinanceHubScreen,WLT executes settlement — WLT-owned entirely,OPS_ACTION — ops reviews settlement exceptions only,YES,MISSING,P0 — ops cannot see partner settlement without CP finance sub-workspace,DSH must not implement settlement logic; WLT bridge only
EX-18,wlt-settlement,captain,WLT,Order delivered — captain payout due,WLT calculates and executes captain payout; DSH shows payout status read-only,WLT_BRIDGE — MISSING in CP finance (LC-FIN-03) + READ-ONLY STATE in DshCaptainFinanceScreen,WLT executes payout — WLT-owned entirely,OPS_ACTION — ops reviews payout exceptions only,YES,MISSING,P0,
EX-19,wlt-settlement,field,WLT,Partner activation completed — field agent commission due,WLT calculates field commission; DSH shows commission status read-only,WLT_BRIDGE — MISSING in CP finance (LC-FIN-07) + READ-ONLY STATE in DshFieldFinanceScreen,WLT executes commission — WLT-owned,OPS_ACTION — ops reviews field commission exceptions,YES,MISSING,P1,
EX-20,wlt-refund,client,WLT,Client refund approved after order exception,WLT executes refund; DSH shows refund status read-only to client and ops,WLT_BRIDGE — MISSING (LC-CLIENT-21 + LC-FIN-04),WLT executes refund — WLT-owned,OPS_ACTION — ops classifies refund candidacy before WLT handoff,YES,MISSING,P0 — client has no refund visibility; ops has no refund queue,Loop 4: WLT bridge status STATE for client + refund queue WORKSPACE for ops
EX-21,wlt-refund,partner,WLT,Partner-related refund or adjustment after rejection or issue,WLT executes adjustment; DSH shows adjustment status read-only,WLT_BRIDGE — MISSING in CP finance,WLT executes adjustment — WLT-owned,OPS_ACTION — ops triggers financial exception record,YES,MISSING,P1,
EX-22,cod-collection,captain,,Cash-on-delivery order — captain must collect cash at dropoff,Flag COD collection requirement to captain during delivery; show collection note at dropoff state,STATE in DshCaptainPickupDropoffScreen (COD collection note) + NOTIFICATION,WLT owns COD reconciliation — DSH shows note only,OPS_ACTION — ops monitors COD collection flags,YES,PARTIAL,P1 — captain needs explicit COD instruction,COD note is referenced in operating logic model; explicit STATE needed in Loop 4
EX-23,quota-exception,operator,,Quote unavailable — serviceability cannot be determined at checkout,Block checkout intent progression; show client-visible failure state with retry or alternative,STATE in DshCheckoutIntentScreen (quote-unavailable / retry) + NOTIFICATION,none — systemic visibility for ops,OPS_ACTION — ops monitors repeated quote failures,YES,COVERED (partially),P1 — quote-fail state exists as blocked state in checkout intent; needs explicit retry path,
EX-24,payment-exception,client,WLT,WLT payment fails during checkout,Block order from progressing; show client-visible payment-failed state with retry or alternative path,STATE in DshCheckoutIntentScreen (blocked / payment-failed) + WLT_BRIDGE result,WLT-owned failure — DSH shows result only,OPS_ACTION — ops monitors repeated payment failures,YES,COVERED (partially),P0 — payment-fail state exists as blocked state; needs explicit WLT failure message handling,WLT result surfaces through existing blocked/error states; explicit messaging needed
EX-25,auth-exception,any,,Auth missing or expired during any protected action,Block action; surface auth-required state; route to auth flow,STATE (auth-blocked state) on any surface,none,none — auth is not ops-owned,NO,PARTIAL,P0 — auth gate is implied by blocked states across screens; explicit auth flow not in scope yet,Auth provider integration is a runtime dependency — explicitly blocked in current phase
