screen_id,canonical_family,purpose_statement,primary_cta,destructive_action,secondary_actions,entry_rule,exit_rule,required_state_shells,related_operation
dsh_client_entry_discovery_home,client_discovery_entry,start lawful customer order intent by choosing a store or category path without leaving app-client,select_store_or_category,none,resume_cart_if_present,enter when customer has no active order and no direct detail context,exit to category_or_store_detail or cart_review,loading|discovery_ready|empty_discovery|resume_cart_hint|error_retry,dsh_store_discovery
dsh_client_category_or_store_detail,client_detail_selection,convert discovery intent into a concrete purchasable selection context before cart review,add_or_adjust_cart,none,return_to_discovery_home,enter from discovery selection or direct store or category re-entry,exit to cart_review,loading|detail_ready|empty_listing|item_unavailable|error_retry,dsh_store_discovery
dsh_client_cart_review,client_cart_review,review and adjust cart contents before entering checkout gating,proceed_to_checkout,none,edit_cart_items|return_to_detail,enter from category_or_store_detail or resumed cart context,exit to checkout_confirm or stay local for edits,loading|cart_ready|empty_cart|cart_mutation_pending|error_retry,dsh_cart_checkout_gate
dsh_client_checkout_confirm,client_checkout_confirm,validate order intent and commit submission only when checkout rules pass,submit_order,abandon_checkout_if_user_exits,change_payment_or_delivery_details|return_to_cart,enter only from cart_review with a valid draft order intent,exit to active_order_tracking after submit or stay local on block,loading|checkout_ready|checkout_block|submit_pending|submit_failed,dsh_cart_checkout_gate
dsh_client_active_order_tracking,client_active_tracking,keep customer visibility on the active or terminal order without exposing partner or captain control actions,none_observational_surface,none,open_chat_companion_if_available|refresh_tracking,enter from order_submit_or_completion or direct returning-user tracking re-entry,exit when the order is completed or cancelled and the customer leaves the flow,loading|tracking_active|completed_terminal|cancelled_terminal|error_retry,dsh_customer_order_tracking
dsh_client_proxy_request_entry,client_proxy_entry,capture a proxy exception request on the customer surface without exposing internal ops governance,submit_proxy_request,none,edit_proxy_request_details,enter only when customer must use the proxy exception branch,exit to proxy_request_tracking or leave the exception flow,loading|proxy_form_ready|proxy_input_invalid|submit_pending|submit_failed,dsh_proxy_request_flow
dsh_client_proxy_request_tracking,client_proxy_tracking,reflect proxy review status back to the customer after internal governance acts on the case,none_observational_surface,none,refresh_proxy_status,enter from proxy_request_entry or returning-user proxy re-entry,exit when the proxy case reaches a terminal decision,loading|pending_review|decision_reflected|closed|error_retry,dsh_proxy_request_flow
dsh_partner_orders_board,partner_orders_board,provide the partner lawful entry board for active DSH order handling,open_next_order_workspace,none,open_store_maintenance_if_needed,enter when partner receives or resumes pending store-side work,exit to partner_order_workspace,loading|board_ready|empty_queue|refreshing|error_retry,dsh_partner_order_handling
dsh_partner_order_workspace,partner_order_workspace,advance one partner-owned order through accept prepare ready handoff or local rejection inside a single workspace,advance_order_to_next_partner_state,reject_order_if_lawful,open_chat_companion|open_handoff_step,enter from partner_orders_board or return from store maintenance repair,exit to captain path handoff or internal issue handling,loading|workspace_ready|progress_pending|handoff_pending|partner_block,dsh_partner_order_handling
dsh_partner_store_maintenance_workspace,partner_store_maintenance,repair store readiness inventory hours zones or service modes so the main partner path can continue,apply_store_readiness_fix,none,return_to_order_workspace,enter only when partner handling detects a store-side blocker,exit back to partner_order_workspace or orders_board,loading|maintenance_ready|save_pending|save_success|save_error,dsh_partner_store_maintenance
dsh_partner_order_issue_queue,partner_exception_queue,expose partner-only exception cases that require internal handling without redefining the mainline partner journey,open_issue_case,none,return_to_partner_workspace,enter only from partner_order_workspace when an exception queue is needed,exit back to partner_order_workspace after issue review,loading|queue_ready|empty_queue|resolution_pending|error_retry,dsh_partner_order_handling
dsh_captain_offers_list,captain_offers_entry,present available delivery work and let the captain lawfully claim the next job,accept_delivery_offer,decline_offer_if_lawful,open_offer_details,enter when captain has available DSH offers or resumes the assignment stage,exit to captain_execution_workspace,loading|offers_ready|empty_offers|offer_expired|error_retry,dsh_captain_offer_and_acceptance
dsh_captain_execution_workspace,captain_execution_workspace,keep all captain execution work in one surface from acceptance through in-delivery progress,advance_delivery_step,reject_or_abort_job_if_lawful,open_chat_companion,enter from offers_list after acceptance or from resumed in-delivery work,exit to proof_capture or terminal resolution,loading|execution_ready|step_pending|captain_block|completion_ready,dsh_captain_offer_and_acceptance|dsh_captain_delivery_execution
dsh_captain_proof_capture,captain_proof_capture,record or verify delivery proof when completion policy requires an explicit gate,submit_delivery_proof,none,return_to_execution_workspace,enter only when delivery execution reaches a proof-required completion gate,exit to customer tracking or flow exit,loading|proof_ready|capture_pending|verification_required|upload_failed,dsh_delivery_proof_and_verification
dsh_field_activation_workspace,field_activation_workspace,handle optional field activation or visit support without turning app-field into a default DSH route tree,record_activation_or_visit_result,none,open_geo_pin_companion|open_visit_log_companion,enter only when field participation is enabled and requested,exit after activation work completes or the branch is skipped,loading|field_ready|field_unavailable|geo_pin_pending|visit_log_pending,dsh_field_activation_support
