"operation_id","donor_surface","donor_screen_id","donor_route","operation_bindings","guards_applied","rbac_required","step_up_required","target_family_guess","target_status","target_candidate_ids","target_canonical","mapping_confidence","mapping_notes"
"dsh_captain_chat_read_ack","APP_CAPTAIN","PLANNED_dsh_captain_chat_read_ack","/dsh/planned","dsh_captain_chat_read_ack","SurfaceGuard","true","false","dsh_customer_order_chat","converted_companion","dsh_captain_chat_companion","dsh_captain_execution_workspace","high","Captain chat is kept as a companion interaction."
"dsh_captain_chat_send","APP_CAPTAIN","PLANNED_dsh_captain_chat_send","/dsh/planned","dsh_captain_chat_send","SurfaceGuard","true","false","dsh_customer_order_chat","converted_companion","dsh_captain_chat_companion","dsh_captain_execution_workspace","high","Captain chat is kept as a companion interaction."
"dsh_captain_cod_balance","APP_CAPTAIN","PLANNED_dsh_captain_cod_balance","/dsh/planned","dsh_captain_cod_balance","SurfaceGuard","true","false","legacy_captain_finance_tier","move_to_legacy","dsh_captain_finance_and_tier_cluster","","high","Finance and tier material sits outside current first-service truth."
"dsh_captain_job_reject","APP_CAPTAIN","PLANNED_dsh_captain_job_reject","/dsh/planned","dsh_captain_job_reject","SurfaceGuard","true","false","dsh_captain_offer_and_acceptance","converted_companion","dsh_captain_reject_action","dsh_captain_execution_workspace","high","Reject action is subordinate to captain execution."
"dsh_captain_proof_upload","APP_CAPTAIN","PLANNED_dsh_captain_proof_upload","/dsh/planned","dsh_captain_proof_upload","SurfaceGuard","true","false","dsh_delivery_proof_and_verification","covered","dsh_captain_proof_capture","dsh_captain_proof_capture","high","Proof capture is an explicit completion gate."
"dsh_chat_read_ack","APP_USER","dsh_chat_read_ack","/dsh/chat/read-ack","dsh_chat_read_ack","SurfaceGuard","true","false","dsh_customer_order_chat","converted_companion","dsh_client_order_chat_companion","dsh_client_active_order_tracking","high","Customer chat is subordinate to active tracking."
"dsh_chat_send","APP_USER","dsh_chat_send","/dsh/chat/messages","dsh_chat_send","SurfaceGuard","true","false","dsh_customer_order_chat","converted_companion","dsh_client_order_chat_companion","dsh_client_active_order_tracking","high","Customer chat is subordinate to active tracking."
"dsh_checkout_gate","APP_USER","PLANNED_dsh_checkout_gate","/dsh/planned","dsh_checkout_gate","SurfaceGuard","true","false","dsh_cart_checkout_gate","covered","dsh_client_cart_review|dsh_client_checkout_confirm|dsh_client_checkout_block_state","dsh_client_cart_review|dsh_client_checkout_confirm","high","Cart and checkout gating family."
"dsh_entitlements_get","APP_USER","PLANNED_dsh_entitlements_get","/dsh/planned","dsh_entitlements_get","SurfaceGuard","true","false","dsh_store_discovery","support_folded","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","medium","Discovery and detail-support operation family."
"dsh_external_order_create","APP_USER","PLANNED_dsh_external_order_create","/dsh/planned","dsh_external_order_create","SurfaceGuard","true","false","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_create","APP_USER","shein_create_request_screen","/dsh/shein/create","dsh_proxy_request_create","SurfaceGuard|RbacAbacBarGuard","true","false","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_estimate","MCPW","shein_proxy_estimate_screen","/app/operations/dsh/sheinproxy/[id]/estimate","dsh_proxy_request_estimate","SurfaceGuard|RbacAbacBarGuard","true","false","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_offer","MCPW","shein_proxy_offer_screen","/app/operations/dsh/sheinproxy/[id]/offer","dsh_proxy_request_offer","SurfaceGuard|RbacAbacBarGuard","true","false","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_approve","APP_USER","shein_create_request_screen","/dsh/shein/create","dsh_proxy_request_approve","SurfaceGuard|RbacAbacBarGuard","true","false","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_reject","APP_USER","shein_create_request_screen","/dsh/shein/create","dsh_proxy_request_reject","SurfaceGuard|RbacAbacBarGuard","true","false","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_reject","MCPW","shein_proxy_requests_list","/app/operations/dsh/sheinproxy","dsh_proxy_request_reject","SurfaceGuard|RbacAbacBarGuard","true","false","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
