path,classification,reason,used_by,duplicate_of,recommended_action,delete_safe_now,owner_decision_required,notes
dsh/frontend/app-client/screens/OperationScreens.tsx,GOD_SCREEN,6 registered screens in one file; conversation/listing/issue/proxy/settings/zone,dsh-client.screen-registry.ts,none,Split into 6 dedicated screens in Loop 5 after human review confirms grouping,NO,YES,V4 classification: OWNER_DECISION_REQUIRED for split plan; do not split before human approval
dsh/frontend/app-captain/DshCaptainSurface.tsx,GOD_SCREEN,7 registered screens in one file; home/support-screen/account-root/account-orders/account-docs/account-shifts/account-support,dsh-captain.screen-registry.ts,none,Split account-level screens in Loop 5; keep TAB_ROOT mounting logic,NO,YES,V4 classification: OWNER_DECISION_REQUIRED; home and support may stay — account sub-screens extractable
dsh/frontend/app-captain/parts/OperationScreen.ts,NAME_CLASH,Similar name to app-client/parts/OperationScreen.tsx; .ts extension for UI suspect,unknown,app-client/parts/OperationScreen.tsx,Verify import chain and content; classify as re-export or stub; rename if collision risk,NO,YES,V4 classification: content verification required before any action
dsh/frontend/app-client/parts/OperationScreen.tsx,NAME_CLASH,Same name as app-captain/parts/OperationScreen.ts; cross-surface naming collision,unknown,app-captain/parts/OperationScreen.ts,Verify import chain; document distinction or rename to remove ambiguity,NO,YES,V4 classification: naming collision documented; owner decision required on rename
dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,GOD_SCREEN,3 registered screens in one file; home/operations/settings,dsh-partner.screen-registry.ts,none,Extract settings into PartnerSettingsScreen in Loop 5 if content warrants it,NO,YES,V4 classification: lower priority than client/captain god-files; settings extraction acceptable
dsh/frontend/control-panel/operations/AwnakScreen.tsx,CROSS_SURFACE_OVERLAP,Parallels app-client/parts/AwnakOrderCreateScreen; ops view vs duplicate logic unclear,unknown,app-client/parts/AwnakOrderCreateScreen,Confirm role: ops management view vs duplicate proxy; document distinction,NO,YES,V4 classification: OWNER_DECISION_REQUIRED on role separation
dsh/frontend/control-panel/operations/ControlPanelDshSheinProxyScreen.tsx,CROSS_SURFACE_OVERLAP,Parallels app-client/parts/SheinOrderCreateScreen; ops-side vs client-side unconfirmed,unknown,app-client/parts/SheinOrderCreateScreen,Confirm ops proxy vs client proxy distinction; document ownership boundary,NO,YES,V4 classification: OWNER_DECISION_REQUIRED on role separation
dsh/frontend/app-client/data/categories.preview-data.ts,FIXTURE_PREVIEW_DATA,Preview-only fixture; not runtime truth,preview screens only,none,Archive to data/preview-fixtures/ in Loop 6 after inventory confirmed,NO,NO,Safe to archive; not delete
dsh/frontend/app-client/data/client-state.preview-data.ts,FIXTURE_PREVIEW_DATA,Preview-only fixture,preview screens only,none,Archive in Loop 6,NO,NO,Safe to archive
dsh/frontend/app-client/data/discovery.preview-data.ts,FIXTURE_PREVIEW_DATA,Preview-only fixture,preview screens only,none,Archive in Loop 6,NO,NO,Safe to archive
dsh/frontend/app-client/data/home.preview-data.ts,FIXTURE_PREVIEW_DATA,Preview-only fixture,preview screens only,none,Archive in Loop 6,NO,NO,Safe to archive
dsh/frontend/app-client/data/store.preview-data.ts,FIXTURE_PREVIEW_DATA,Preview-only fixture,preview screens only,none,Archive in Loop 6,NO,NO,Safe to archive
dsh/frontend/shared/dshFinancePreviewModel.ts,FIXTURE_PREVIEW_DATA,Preview model with optional amountHalalas; no WLT accounting logic; pure UI view model,WLT partner bridge imports,none,Archive in Loop 6 after WLT boundary migration complete; do not touch until WLT boundary confirmed clean,NO,YES,Loop 5 verified: no WLT ledger/transaction semantics; V4 keeps as-is
dsh/frontend/control-panel/operations/AuditTrailDetailWorkspace.tsx,SKELETON_WIRED,ML-035 skeleton; exported from operations; BLOCKED_BY_CONTRACT (audit detail API not proven),operations/index.ts,none,Mount from AuditSupportSlaScreen when audit API proven; no action in V4,NO,NO,Already exported from operations; classified as BLOCKED_BY_CONTRACT
dsh/frontend/app-captain/screens/DshCaptainMapScreen.tsx,RESOLVED,ML-025 resolved in Loop 4; registered in dsh-captain.screen-registry.ts as captain.dsh.orders.map,dsh-captain.screen-registry.ts,none,No further action needed; gap closed,NO,NO,Status UNPROVEN — screen exists and is registered; awaiting visual review
