operation_id,primary_surface,participating_surfaces,oversight_surface,field_participation,entry_rule,source_trace,decision_status,notes
dsh_store_discovery,app-client,app-client,none,not_applicable,"customer starts DSH here","DSH_COVERAGE_MATRIX.csv; DSH_RBAC_MATRIX.csv; auto_dsh_home_get.tsx",RETAIN,"no clean basis for partner or control-panel ownership"
dsh_cart_checkout_gate,app-client,app-client,none,not_applicable,"cart review and checkout stay customer-owned","DSH_COVERAGE_MATRIX.csv; DSH_RBAC_MATRIX.csv; auto_dsh_checkout_gate.tsx",RETAIN,"WLT remains outside DSH ownership even when payment pressure exists"
dsh_order_submit,app-client,"app-client|app-partner",control-panel,not_applicable,"customer confirms then partner receives","DSH_UX_FLOW.md; DSH_COVERAGE_MATRIX.csv",RETAIN,"control-panel may observe downstream but does not own submission"
dsh_customer_order_tracking,app-client,"app-client|app-partner|app-captain|control-panel",control-panel,not_applicable,"customer tracking re-entry after submission or resume","DSH_UX_FLOW.md; DSH_COVERAGE_MATRIX.csv",RETAIN,"visibility does not transfer action ownership"
dsh_customer_order_chat,app-client,"app-client|app-partner|app-captain",none,not_applicable,"active-order communication starts from the participant surface","DSH_COVERAGE_MATRIX.csv; DSH_RBAC_MATRIX.csv",RETAIN,"chat is cross-surface but not control-panel-owned"
dsh_partner_order_handling,app-partner,"app-partner|control-panel",control-panel,not_applicable,"submitted order reaches partner queue","DSH_SERVICE_SCOPE.md; DSH_COVERAGE_MATRIX.csv",RETAIN,"internal visibility is governance only"
dsh_partner_store_maintenance,app-partner,"app-partner|control-panel",control-panel,conditional,"partner fixes store readiness blockers","DSH_RBAC_MATRIX.csv; DSH_MCPW_SECTION_MAP.csv",RETAIN,"field remains optional and only when activation work is real"
dsh_captain_offer_and_acceptance,app-captain,"app-captain|control-panel",control-panel,not_applicable,"captain enters through available offers","DSH_UX_FLOW.md; auto_dsh_captain_orders_offers_list.tsx",RETAIN,"partner handoff is upstream, not a second captain entry"
dsh_captain_delivery_execution,app-captain,"app-captain|app-client|control-panel",control-panel,not_applicable,"accepted job moves into delivery execution","DSH_UX_FLOW.md; DSH_COVERAGE_MATRIX.csv",RETAIN,"customer sees progress without owning staff actions"
dsh_delivery_proof_and_verification,app-captain,"app-captain|app-client|control-panel",control-panel,not_applicable,"execution reaches proof-required closeout","DSH_COVERAGE_MATRIX.csv; auto_dsh_captain_proof_upload.tsx",RETAIN,"customer confirmation remains observational"
dsh_field_activation_support,app-field,"app-field|control-panel",control-panel,required_when_enabled,"field branch opens only when activation or visit work exists","DSH_COVERAGE_MATRIX.csv; DSH_RBAC_MATRIX.csv",RETAIN_OPTIONAL,"do not expand app-field into a default route tree"
dsh_proxy_request_flow,app-client,"app-client|control-panel",control-panel,not_applicable,"customer enters the proxy exception branch then ops reviews it","DSH_COVERAGE_MATRIX.csv; DSH_MCPW_SECTION_MAP.csv; shein-proxy.yaml",RETAIN,"one of the few evidence-backed dual-surface families"
dsh_ops_governance_controls,control-panel,"control-panel|app-partner|app-captain|app-field",control-panel,conditional,"ops intervene only when governance or escalation is lawful","DSH_MCPW_SECTION_MAP.csv; DSH_SERVICE_SCOPE.md",RETAIN,"control-panel stays oversight-first and non-mirrored"
