queue_order,wave_id,item_id,item_type,canonical_name,surface,screen_group,execution_strategy,implementation_action,owner_layer,target_repo_path,files_to_touch,depends_on,opens_next,ui_kit_prereq,contract_prereq,binding_prereq,runtime_prereq,acceptance_gate,status,blocked_by,notes
1,W01_CLIENT_FOUNDATION,SCR_1,screen,wlt_app_client_hub,app-client,client_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,generated
2,W01_CLIENT_FOUNDATION,SCR_6,screen,wlt_wallet_get,app-client,client_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,generated
3,W02_PARTNER_CAPTAIN_FIELD,SCR_2,screen,wlt_app_partner_hub,app-partner,partner_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,generated
4,W02_PARTNER_CAPTAIN_FIELD,SCR_3,screen,wlt_app_captain_hub,app-captain,captain_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,generated
5,W02_PARTNER_CAPTAIN_FIELD,SCR_4,screen,wlt_app_field_hub,app-field,field_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,generated
6,W02_PARTNER_CAPTAIN_FIELD,SCR_7,screen,wlt_partner_settlement_get,app-partner,partner_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,generated
7,W02_PARTNER_CAPTAIN_FIELD,SCR_8,screen,wlt_captain_earnings_get,app-captain,captain_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,generated
8,W02_PARTNER_CAPTAIN_FIELD,SCR_9,screen,wlt_field_collection_get,app-field,field_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,generated
9,W03_CONTROL_FINANCE,SCR_5,screen,wlt_control_finance_hub,control-panel,control_finance_ops,contract_first_binding_first,bind_then_surface,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,generated
10,W03_CONTROL_FINANCE,SCR_10,screen,wlt_finance_review,control-panel,control_finance_ops,contract_first_binding_first,bind_then_surface,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,W08_BINDING_AND_CONTRACT,required,as_needed,as_needed,no,A+B+C,seed_ready,,generated
11,W01_CLIENT_FOUNDATION,SCR_11,screen,wlt_payment_create,app-client,client_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_for_mutation_coverage
12,W02_PARTNER_CAPTAIN_FIELD,SCR_12,screen,wlt_partner_payout_request,app-partner,partner_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_for_mutation_coverage
13,W02_PARTNER_CAPTAIN_FIELD,SCR_13,screen,wlt_captain_payout_request,app-captain,captain_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_for_mutation_coverage
14,W02_PARTNER_CAPTAIN_FIELD,SCR_14,screen,wlt_field_settlement_submit,app-field,field_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_for_mutation_coverage
15,W03_CONTROL_FINANCE,SCR_15,screen,wlt_finance_approve,control-panel,control_finance_ops,contract_first_binding_first,bind_then_surface,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,ui_kit_primitives,W08_BINDING_AND_CONTRACT,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_for_mutation_coverage
16,W04_PAYMENT_AND_SETTLEMENT,SCR_16,screen,wlt_payment_methods_list,app-client,client_payment_settlement_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,wlt_payment_create,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_from_donor_analysis
17,W04_PAYMENT_AND_SETTLEMENT,SCR_17,screen,wlt_intent_create,app-client,client_payment_settlement_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,wlt_payment_methods_list,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_from_donor_analysis
18,W04_PAYMENT_AND_SETTLEMENT,SCR_18,screen,wlt_intent_confirm,app-client,client_payment_settlement_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,wlt_intent_create,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_from_donor_analysis
19,W04_PAYMENT_AND_SETTLEMENT,SCR_19,screen,wlt_settlements_list,app-client,client_payment_settlement_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,wlt_wallet_get,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_from_donor_analysis
20,W04_PAYMENT_AND_SETTLEMENT,SCR_20,screen,wlt_settlement_get,app-client,client_payment_settlement_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,wlt_settlements_list,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_from_donor_analysis
21,W04_PAYMENT_AND_SETTLEMENT,SCR_21,screen,wlt_settlement_create,app-partner,partner_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,wlt_partner_settlement_get,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_from_donor_analysis
22,W05_DONOR_PARITY_EXTENDED,SCR_22,screen,wlt_balance_get,app-client,client_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,wlt_wallet_get,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_from_donor_analysis
23,W05_DONOR_PARITY_EXTENDED,SCR_23,screen,wlt_topup,app-client,client_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,wlt_balance_get,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_from_donor_analysis
24,W05_DONOR_PARITY_EXTENDED,SCR_24,screen,wlt_withdraw_request,app-client,client_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,wlt_balance_get,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_from_donor_analysis
25,W05_DONOR_PARITY_EXTENDED,SCR_25,screen,wlt_transfer_create,app-client,client_wallet_flow,rebuild_clean_ui_first,build_surface_then_bind,packages/surfaces,packages/surfaces/src/wlt,surface component + hook + route shell,wlt_balance_get,next_queue_item,required,as_needed,as_needed,no,A+B+C,seed_ready,,added_from_donor_analysis
