operation_key,entry_surface,primary_surface,app_client,app_partner,app_captain,app_field,control_panel,webapp,website,ownership_rule,why_it_exists,source_status,source_trace,notes
dsh_store_discovery,app-client,app-client,REQUIRED,OUT,OUT,OUT,OUT,OUT,OUT,customer discovery belongs only to the customer entry surface,start store and category intent for a DSH order,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX",no clean basis for control-panel or partner duplication
dsh_cart_checkout_gate,app-client,app-client,REQUIRED,OUT,OUT,OUT,OUT,OUT,OUT,checkout gating belongs only to the customer entry surface,validate cart and checkout before order submission,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX",finance truth remains outside DSH surface ownership
dsh_order_submit,app-client,app-client,REQUIRED,OUT,OUT,OUT,OUT,OUT,OUT,order submission is a customer action even when downstream work follows,create a pending DSH order for downstream handling,observed,"OPERATIONS_CATALOG; DSH_UX_FLOW; DSH_COVERAGE_MATRIX",partner handling happens through dsh_partner_order_handling rather than submit duplication
dsh_customer_order_tracking,app-client,app-client,REQUIRED,OUT,OUT,OUT,OUT,OUT,OUT,customer tracking stays on the customer surface while other actors use their own operation families,reflect order lifecycle visibility back to the customer,observed,"OPERATIONS_CATALOG; DSH_UX_FLOW; DSH_COVERAGE_MATRIX",mirror visibility elsewhere is not tracking ownership
dsh_customer_order_chat,app-client,app-client,REQUIRED,REQUIRED,REQUIRED,OUT,OUT,OUT,OUT,chat endpoints live on the participating user surfaces only,allow active order communication among customer partner and captain,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX",control-panel is excluded unless a later escalation family is explicitly locked
dsh_partner_order_handling,app-partner,app-partner,OUT,REQUIRED,OUT,OUT,OUT,OUT,OUT,partner order work belongs to the partner execution surface,prepare handle and hand off store-side order work,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX",internal oversight remains separate from partner action ownership
dsh_partner_store_maintenance,app-partner,app-partner,OUT,REQUIRED,OUT,OUT,OUT,OUT,OUT,partner store maintenance belongs to the partner workspace,maintain partner readiness inventory hours zones and service modes,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX",donor MCPW mirroring is rejected for the clean target model
dsh_captain_offer_and_acceptance,app-captain,app-captain,OUT,OUT,REQUIRED,OUT,OUT,OUT,OUT,captain offer handling belongs to the captain execution surface,accept reject and lock the job into captain execution,observed,"OPERATIONS_CATALOG; DSH_UX_FLOW; DSH_COVERAGE_MATRIX",ops visibility does not create a second ownership surface
dsh_captain_delivery_execution,app-captain,app-captain,OUT,OUT,REQUIRED,OUT,OUT,OUT,OUT,delivery execution belongs to the captain execution surface,advance the accepted job through active delivery work,observed,"OPERATIONS_CATALOG; DSH_UX_FLOW; DSH_COVERAGE_MATRIX",customer visibility is covered through dsh_customer_order_tracking
dsh_delivery_proof_and_verification,app-captain,app-captain,OPTIONAL,OUT,REQUIRED,OUT,OUT,OUT,OUT,proof capture lives with captain execution while customer verification may be exposed when needed,record or verify proof at the end of delivery,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX",customer-side verification stays optional until screen lock proves it is always required
dsh_field_activation_support,app-field,app-field,OUT,OUT,OUT,REQUIRED,OUT,OUT,OUT,field activation work belongs only to the field support surface,perform activation geo pin and visit support tasks when that path is enabled,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_RBAC_MATRIX",service-level field usage remains optional even though the family itself is field-owned
dsh_proxy_request_flow,app-client,app-client,REQUIRED,OUT,OUT,OUT,REQUIRED,OUT,OUT,proxy flow is a true dual-surface family with customer initiation and internal approval or intervention,create and govern proxy requests across customer and internal ops contexts,observed,"OPERATIONS_CATALOG; DSH_COVERAGE_MATRIX; DSH_MCPW_SECTION_MAP",this is the clearest evidence-backed clean dual-surface family
dsh_ops_governance_controls,control-panel,control-panel,OUT,OUT,OUT,OUT,REQUIRED,OUT,OUT,internal governance belongs only to the internal operations surface,run peak mode exception handling and internal operational controls,observed,"OPERATIONS_CATALOG; DSH_MCPW_SECTION_MAP; DSH_SERVICE_SCOPE",effects may reach other surfaces without moving operation ownership out of control-panel
