screen_id,loading_state,empty_state,filtered_empty_state,disabled_state,offline_state,validation_error_state,upstream_failure_state,retry_state,stale_state,partial_state,success_state,notes
dsh_client_entry_discovery_home,required,required,not_required,not_required,required,not_required,required,required,optional,not_required,selection_context_ready,"discovery must handle empty storefront and retry"
dsh_client_category_or_store_detail,required,required,required,not_required,required,required,required,required,optional,optional,item_selection_ready,"detail screen must handle unavailable items and filtered empties"
dsh_client_cart_review,required,required,not_required,optional,required,required,required,required,optional,optional,cart_ready_for_checkout,"cart mutations need pending and recovery behavior"
dsh_client_checkout_confirm,required,not_required,not_required,optional,required,required,required,required,optional,optional,order_submitted,"checkout must surface local validation and submit failures"
dsh_client_active_order_tracking,required,not_required,not_required,optional,required,not_required,required,required,optional,required,terminal_state_visible,"tracking is observational and must show partial propagation"
dsh_client_proxy_request_entry,required,not_required,not_required,optional,required,required,required,required,optional,optional,proxy_case_submitted,"proxy entry is form-heavy and validation-sensitive"
dsh_client_proxy_request_tracking,required,required,not_required,optional,required,not_required,required,required,optional,required,decision_reflected,"proxy tracking is lifecycle reflection only"
dsh_partner_orders_board,required,required,required,optional,required,not_required,required,required,optional,optional,queue_loaded,"partner board must show empty queue without leaking errors into another screen"
dsh_partner_order_workspace,required,not_required,not_required,optional,required,required,required,required,optional,required,partner_step_applied,"workspace needs blocker and handoff-pending states"
dsh_partner_store_maintenance_workspace,required,not_required,not_required,optional,required,required,required,required,optional,optional,store_fix_saved,"maintenance must show save conflicts and recovery"
dsh_partner_order_issue_queue,required,required,required,optional,required,not_required,required,required,optional,optional,issue_opened,"queue is internal to partner flow and can be empty or partially resolved"
dsh_captain_offers_list,required,required,required,optional,required,not_required,required,required,optional,optional,offer_claimed,"offers can expire or disappear between refreshes"
dsh_captain_execution_workspace,required,not_required,not_required,optional,required,required,required,required,optional,required,delivery_step_applied,"execution requires block, reconnect, and completion-ready states"
dsh_captain_proof_capture,required,not_required,not_required,optional,required,required,required,required,optional,optional,proof_verified,"proof upload and verification failure must be explicit"
dsh_field_activation_workspace,required,required,not_required,optional,required,required,required,required,optional,optional,field_result_saved,"field branch can disappear lawfully when unavailable"
dsh_ops_orders_board,required,required,required,optional,required,not_required,required,required,optional,optional,ops_attention_loaded,"internal board must isolate attention-needed and empty states"
dsh_ops_order_detail_exception_workspace,required,not_required,not_required,optional,required,required,required,required,optional,optional,resolution_applied,"ops workspace must keep intervention pending separate from save success"
dsh_ops_peak_mode_control,required,not_required,not_required,optional,required,required,required,required,optional,optional,policy_saved,"peak-mode requires policy-conflict handling"
dsh_proxy_requests_list,required,required,required,optional,required,not_required,required,required,optional,optional,proxy_case_selected,"proxy list can be empty without making the workflow broken"
dsh_proxy_request_review_workspace,required,not_required,not_required,optional,required,required,required,required,optional,optional,decision_committed,"review workspace must show decision pending and scheduling state explicitly"
